Aggregated Freyja results,,,,,,,
Sample,summarized,lineages,abundances,resid,coverage,primary lineage,primary lineage percentage
UT-UPHL-250411047375,"[('LP.8.1* (LP.8.1.X)', 0.9943651776035634)]",LP.8.1.6 LP.8.1.12 NY.7.1 LP.8.1.5,0.97691050 0.01502593 0.00128556 0.00114319,14.27611186064583,99.83279269638498,LP.8.1.6,0.9769105
UT-UPHL-250411068396,"[('LP.8.1* (LP.8.1.X)', 0.9947439487083327)]",LP.8.1 LP.8.1.12,0.99234525 0.00239869,16.512736439730098,99.83279269638498,LP.8.1,0.99234525
UT-UPHL-250411104473,"[('LP.8.1* (LP.8.1.X)', 0.9969247447777951)]",NY.3,0.99692474,15.416863237302849,99.85954586496338,NY.3,0.99692474
UT-UPHL-250411159127,"[('LP.8.1* (LP.8.1.X)', 0.995441968703244)]",LP.8.1.1,0.99544197,12.290886042659295,99.60204661739625,LP.8.1.1,0.99544197
UT-UPHL-250411169550,"[('Omicron', 0.999729032148159)]",XES.1.1 XES.1,0.99755124 0.00217779,12.983664943168776,99.64552051633615,XES.1.1,0.99755124
UT-UPHL-250411196816,"[('LP.8.1* (LP.8.1.X)', 0.9952209680977102)]",NY.13.1,0.99522097,19.91520120227181,99.83279269638498,NY.13.1,0.99522097
UT-UPHL-250411293822,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9987072781472902)]",PA.3,0.99870728,14.499759909416806,99.71909172992676,PA.3,0.99870728
UT-UPHL-250411351758,"[('LP.8.1* (LP.8.1.X)', 0.9950176803536694)]",LP.8.1.3,0.99501768,34.075210119789574,99.92977293,LP.8.1.3,0.99501768
UT-UPHL-250411414324,"[('XEC* (XEC.X)', 0.9981220160021937)]",XEC.9,0.99812202,13.262108208950833,99.68230612313145,XEC.9,0.99812202
UT-UPHL-250411415053,"[('XEC* (XEC.X)', 0.9999996244658018)]",XEC.11.1,0.99999962,9.884432219130652,96.67257465806107,XEC.11.1,0.99999962
UT-UPHL-250411505017,"[('LP.8.1* (LP.8.1.X)', 0.9939623177537559)]",LP.8.1 LP.8.1.12,0.99098612 0.00297619,20.046024836677965,99.83279269638498,LP.8.1,0.99098612
UT-UPHL-250411574650,"[('BA.2.86* (BA.2.86.X)', 0.9980113964803374)]",PV.3 PV.3.1 PV.1,0.99265886 0.00384636 0.00150618,19.162594059823206,99.81272781995118,PV.3,0.99265886
UT-UPHL-250411596060,"[('BA.2.86* (BA.2.86.X)', 0.9968972359752517)]",LF.7.7.2 LF.7.11,0.99588156 0.00101568,9.437931862,99.57194930274554,LF.7.7.2,0.99588156
UT-UPHL-250411603140,"[('XEC* (XEC.X)', 0.9973613950649737)]",XEC.2,0.9973614,17.841385080108523,99.80938367387887,XEC.2,0.9973614
UT-UPHL-250411646667,"[('LP.8.1* (LP.8.1.X)', 0.9950369078474387)]",LP.8.1 LP.8.1.12,0.99346586 0.00157104,14.840637235354352,99.82276025816807,LP.8.1,0.99346586
UT-UPHL-250411704548,"[('LP.8.1* (LP.8.1.X)', 0.9906627078145123)]",LP.8.1 LP.8.1.12 NY.17,0.98176124 0.00777754 0.00112393,22.253418765550727,99.93311707855399,LP.8.1,0.98176124
UT-UPHL-250411716704,"[('XEC* (XEC.X)', 0.9938337218359007)]",XEC.20 XEC.38 XEC.15,0.99046848 0.00219792 0.00116732,17.254116996592565,99.83279269638498,XEC.20,0.99046848
UT-UPHL-250411729484,"[('LP.8.1* (LP.8.1.X)', 0.9961089823193138)]",NY.2 LP.8.1.1 NY.7 NY.10 LP.8.1.12 NY.13.3 NY.3.1,0.97376100 0.00910829 0.00524874 0.00439797 0.00132090 0.00121840 0.00105367,15.234764350489732,99.66224124669766,NY.2,0.973761
UT-UPHL-250411731529,"[('LP.8.1* (LP.8.1.X)', 0.9962663534453329)]",LP.8.1.3 LP.8.1.12,0.99430395 0.00196241,18.93651718078658,99.83279269638498,LP.8.1.3,0.99430395
UT-UPHL-250411766349,"[('BA.2.86* (BA.2.86.X)', 0.9990811488047643)]",NG.1,0.99908115,13.404022694534554,98.21757014346386,NG.1,0.99908115
UT-UPHL-250411793477,"[('XEC* (XEC.X)', 0.996898076184576)]",XEC.8 XEC.18,0.99118806 0.00571001,11.421450902906411,99.73915660636057,XEC.8,0.99118806
UT-UPHL-250411853419,"[('LP.8.1* (LP.8.1.X)', 0.9917612704394638)]",LP.8.1 LP.8.1.12,0.98866158 0.00309969,19.60386611961774,99.93311707855399,LP.8.1,0.98866158
UT-UPHL-250411893035,"[('LP.8.1* (LP.8.1.X)', 0.997639220201679)]",PD.3,0.99763922,13.989684172157412,99.83279269638498,PD.3,0.99763922
UT-UPHL-250411953004,"[('LP.8.1* (LP.8.1.X)', 0.9913168245603723)]",LP.8.1.1 LP.8.1.12 NY.13.3,0.98865907 0.00149682 0.00116093,19.28934784754937,99.86957830318028,LP.8.1.1,0.98865907
UT-UPHL-250411998655,"[('XEC* (XEC.X)', 0.9968589952887629)]",XEC.5 XEC.15 XEC.34 XEC.3 XEC.24,0.95177231 0.03124987 0.00833329 0.00376887 0.00173466,13.456412246004408,99.69902685349297,XEC.5,0.95177231
UT-UPHL-250418015682,"[('LP.8.1* (LP.8.1.X)', 0.9901723184091973)]",LP.8.1 LP.8.1.12 LP.8.1.16 LP.8.1.3,0.98035257 0.00605958 0.00215822 0.00160196,17.500811896993806,99.86289001103569,LP.8.1,0.98035257
UT-UPHL-250418025824,"[('LP.8.1* (LP.8.1.X)', 0.9930296150173356)]",LP.8.1.1 LP.8.1.12,0.99062872 0.00240089,21.571071210085123,99.83279269638498,LP.8.1.1,0.99062872
UT-UPHL-250418070646,"[('LP.8.1* (LP.8.1.X)', 0.9899857937320985)]",LP.8.1 LP.8.1.12,0.98569720 0.00428859,21.188611195759176,99.91974049426479,LP.8.1,0.9856972
UT-UPHL-250418078009,"[('Omicron', 0.9981241334839023)]",XEQ,0.99812413,20.63493860367285,99.86289001103569,XEQ,0.99812413
UT-UPHL-250418143629,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9963239821264956)]",PA.1.4,0.99632398,18.692352697123923,99.86289001103569,PA.1.4,0.99632398
UT-UPHL-250418175235,"[('LP.8.1* (LP.8.1.X)', 0.9929089758228704)]",LP.8.1 LP.8.1.12 LP.8.1.3,0.98899918 0.00241892 0.00149088,17.621030157018133,99.89298732568639,LP.8.1,0.98899918
UT-UPHL-250418175387,"[('LP.8.1* (LP.8.1.X)', 0.9931460105208447)]",LP.8.1.1 NY.14 NY.13.3 NY.4,0.98884399 0.00212330 0.00111319 0.00106553,23.820554099309064,99.86289001103569,LP.8.1.1,0.98884399
UT-UPHL-250418190913,"[('XEC* (XEC.X)', 0.9907323623008235)]",XEC.8 XEC.28 XEC.15 XEC.18,0.98723016 0.00128539 0.00118132 0.00103549,17.85256201881122,99.83279269638498,XEC.8,0.98723016
UT-UPHL-250418232686,"[('LP.8.1* (LP.8.1.X)', 0.999285707391312)]",LP.8.1.1 NY.4,0.99609084 0.00319487,24.887869787105032,99.65889710062535,LP.8.1.1,0.99609084
UT-UPHL-250418257080,"[('XEC* (XEC.X)', 0.9988221207436769)]",XEC.11.1 XEC.11.1.1,0.99774460 0.00107752,18.208070175983057,99.83279269638498,XEC.11.1,0.9977446
UT-UPHL-250418259595,"[('LP.8.1* (LP.8.1.X)', 0.9921899188239324)]",NY.13 NY.13.3,0.99114528 0.00104464,18.943513573046246,99.86289001103569,NY.13,0.99114528
UT-UPHL-250418280840,"[('LP.8.1* (LP.8.1.X)', 0.9999997385345553)]",PF.2.1,0.99999974,16.10896908926148,98.60549108785072,PF.2.1,0.99999974
UT-UPHL-250418335421,"[('LP.8.1* (LP.8.1.X)', 0.9933776294051807)]",NY.13 PR.2 NY.13.3,0.98853980 0.00363105 0.00120678,15.684189144441229,99.83948098852957,NY.13,0.9885398
UT-UPHL-250418343523,"[('LP.8.1* (LP.8.1.X)', 0.9967499437577715)]",LP.8.1.1 NY.13.3 LP.8.1.12,0.98882416 0.00503144 0.00289435,17.35666184677332,99.82944855031268,LP.8.1.1,0.98882416
UT-UPHL-250418355854,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9984722589086082)]",PA.1.4,0.99847226,17.659669939609067,99.57194930274554,PA.1.4,0.99847226
UT-UPHL-250418366557,"[('BA.2.86* (BA.2.86.X)', 0.9959547156564739)]",PV.3 LF.7.1.8,0.99398558 0.00196913,20.34839143934134,99.89967562,PV.3,0.99398558
UT-UPHL-250418375951,"[('XEC* (XEC.X)', 0.9958026958809573)]",XEC.8,0.9958027,18.765136550693775,99.76925392101127,XEC.8,0.9958027
UT-UPHL-250418386383,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9960061819289143)]",PA.3,0.99600618,19.067728824175504,99.86957830318028,PA.3,0.99600618
UT-UPHL-250418392879,"[('BA.2.86* (BA.2.86.X)', 0.9993740186027673)]",PC.2.1.1,0.99937402,20.03188246199665,99.83279269638498,PC.2.1.1,0.99937402
UT-UPHL-250418404202,"[('LP.8.1* (LP.8.1.X)', 0.994447967645423)]",NY.13 PR.2,0.99295170 0.00149627,15.205799876822413,99.83279269638498,NY.13,0.9929517
UT-UPHL-250418404396,"[('XEC* (XEC.X)', 0.998635759472311)]",XEC.2.2.1,0.99863576,15.045721282252611,99.57194930274554,XEC.2.2.1,0.99863576
UT-UPHL-250418408453,"[('XEC* (XEC.X)', 0.9916471577752162)]",XEC.8 XEC.15 XEC.25 XEC.29,0.98224398 0.00574240 0.00220188 0.00145889,18.784310002721618,99.83279269638498,XEC.8,0.98224398
UT-UPHL-250418409126,"[('XEC* (XEC.X)', 0.999627345673794)]",XEC.4.6.1,0.99962735,13.318461749939479,99.57194930274554,XEC.4.6.1,0.99962735
UT-UPHL-250418454975,"[('XEC* (XEC.X)', 0.9982547373588785)]",XEC.11.1,0.99825474,12.689685394009445,99.75253319064977,XEC.11.1,0.99825474
UT-UPHL-250418464275,"[('LP.8.1* (LP.8.1.X)', 0.9971572122966483)]",LP.8.1.1 LP.8.1.12,0.99346720 0.00369001,19.637500686888874,99.74918904457746,LP.8.1.1,0.9934672
UT-UPHL-250418516916,"[('XEC* (XEC.X)', 0.9944968730609088)]",XEC.20 XEC.14.1 XEC.3 XEC.15 XEC.38 XEC.7,0.94061853 0.04347594 0.00637964 0.00161710 0.00121933 0.00118634,19.854831959326717,99.82276025816807,XEC.20,0.94061853
UT-UPHL-250418518456,"[('LP.8.1* (LP.8.1.X)', 0.99079509383866)]",LP.8.1.1,0.99079509,17.078716000671903,99.83279269638498,LP.8.1.1,0.99079509
UT-UPHL-250418541394,"[('XEC* (XEC.X)', 0.9936903831514909)]",XEC.8 XEC.15,0.99099932 0.00269107,18.461622409121226,99.76590977493898,XEC.8,0.99099932
UT-UPHL-250418543194,"[('LP.8.1* (LP.8.1.X)', 0.9928165280363144)]",LP.8.1.1 LP.8.1.12,0.99148884 0.00132769,20.691770219762724,99.83279269638498,LP.8.1.1,0.99148884
UT-UPHL-250418544132,"[('LP.8.1* (LP.8.1.X)', 0.9986250892114259)]",PF.2.1,0.99862509,17.286992374042303,99.84951342674648,PF.2.1,0.99862509
UT-UPHL-250418563842,"[('LP.8.1* (LP.8.1.X)', 0.9964583191624574)]",LP.8.1.10,0.99645832,18.296504713902152,99.85620171889109,LP.8.1.10,0.99645832
UT-UPHL-250418595714,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9969021309373497)]",MC.28.1.1,0.99690213,17.171114631354186,99.86957830318028,MC.28.1.1,0.99690213
UT-UPHL-250418607310,"[('XEC* (XEC.X)', 0.9975891163839685)]",XEC.8 XEC.6 XEC XEC.36 XEC.27 XEC.32 XEC.18.3 XEC.12,0.97192126 0.00787406 0.00664802 0.00297622 0.00265927 0.00212316 0.00188111 0.00150602,12.781470880311012,99.53181954987794,XEC.8,0.97192126
UT-UPHL-250418626416,"[('XEC* (XEC.X)', 0.9968685319984415)]",XEC.11.1,0.99686853,15.841240177821753,99.83279269638498,XEC.11.1,0.99686853
UT-UPHL-250418629957,"[('XEC* (XEC.X)', 0.9904837946338301)]",XEC.20 XEC.25 XEC.15 XEC.5.1,0.98146580 0.00488820 0.00307219 0.00105761,15.972556875065425,99.83613684245728,XEC.20,0.9814658
UT-UPHL-250418639061,"[('LP.8.1* (LP.8.1.X)', 0.9909022796990069)]",LP.8.1.1 NY.13.3,0.98935191 0.00155037,21.51397823525295,99.91639634819249,LP.8.1.1,0.98935191
UT-UPHL-250418662657,"[('XEC* (XEC.X)', 0.9989739444466669)]",XEC.9,0.99897394,14.815881175551073,99.83279269638498,XEC.9,0.99897394
UT-UPHL-250418670837,"[('LP.8.1* (LP.8.1.X)', 0.994301274376993)]",LP.8.1.1,0.99430127,18.37078511,99.83279269638498,LP.8.1.1,0.99430127
UT-UPHL-250418751790,"[('KP.3* (KP.3.X)', 0.9999994728815756)]",KP.3.5,0.99999947,19.328541230356212,98.60214694177841,KP.3.5,0.99999947
UT-UPHL-250418795673,"[('Omicron', 0.9990058589189112)]",XEQ,0.99900586,17.213322734959803,99.70237099956526,XEQ,0.99900586
UT-UPHL-250418801960,"[('Omicron', 0.9972173495498959)]",XFC,0.99721735,16.383836883454176,99.90970805604789,XFC,0.99721735
UT-UPHL-250418830725,"[('LP.8.1* (LP.8.1.X)', 0.9929176927151566)]",LP.8.1.1 LP.8.1.12 NY.2,0.98934654 0.00197498 0.00159617,17.18451684827156,99.93311707855399,LP.8.1.1,0.98934654
UT-UPHL-250418842351,"[('LP.8.1* (LP.8.1.X)', 0.9973718316939295), ('BA.2.86* (BA.2.86.X)', 0.0026237163417531)]",LP.8.1 LP.8.1.12 NY.9 LB.1.11.1,0.91047361 0.08139523 0.00550299 0.00262372,14.31121793277022,98.59880279570612,LP.8.1,0.91047361
UT-UPHL-250418882521,"[('XEC* (XEC.X)', 0.9985111081950613)]",XEC.11.1,0.99851111,18.224061820295727,99.83279269638498,XEC.11.1,0.99851111
UT-UPHL-250418900488,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9985484728844756)]",PA.1.4 MC.10.1.3,0.99290793 0.00564054,18.177655584313126,99.78931879744508,PA.1.4,0.99290793
UT-UPHL-250418934524,"[('LP.8.1* (LP.8.1.X)', 0.9950632652580893)]",LP.8.1.3,0.99506327,22.818320226577505,99.91639634819249,LP.8.1.3,0.99506327
UT-UPHL-250418958243,"[('LP.8.1* (LP.8.1.X)', 0.9939091009030055)]",LP.8.1 LP.8.1.12,0.99122731 0.00268179,18.470487152642335,99.81941611209578,LP.8.1,0.99122731
UT-UPHL-250418997343,"[('LP.8.1* (LP.8.1.X)', 0.9936492331624973)]",LP.8.1.1 NY.6 LP.8.1.16 NY.13.3 LP.8.1.12,0.53092460 0.45798181 0.00197596 0.00143100 0.00133585,15.785578973612807,99.83279269638498,LP.8.1.1,0.5309246
UT-UPHL-250328169790,"[('LP.8.1* (LP.8.1.X)', 0.9984619229071172), ('BA.2.86* (BA.2.86.X)', 0.0014540919758068587)]",NY.17 LP.8.1.11 NK.1,0.99447263 0.00398930 0.00145409,12.252404518673867,93.23479249573622,NY.17,0.99447263
UT-UPHL-250328260822,"[('LP.8.1* (LP.8.1.X)', 0.9977650010331582), ('BA.2.86* (BA.2.86.X)', 0.001430280016684902)]",LP.8.1 LP.8.1.4 NY.9 NK.1 NY.19,0.99256615 0.00202796 0.00185842 0.00143028 0.00131247,14.642067422463114,99.49837808915494,LP.8.1,0.99256615
UT-UPHL-250411143606,"[('LP.8.1* (LP.8.1.X)', 0.9991446954815016)]",LP.8.1.1,0.9991447,13.047192620880294,95.4419289,LP.8.1.1,0.9991447
UT-UPHL-250418640084,"[('LP.8.1* (LP.8.1.X)', 0.999998949052882)]",LP.8.1.1 LP.8.1.8 NY.14,0.99500414 0.00253798 0.00245682,12.696607900569038,99.52847540380564,LP.8.1.1,0.99500414
UT-UPHL-250418000807,"[('LP.8.1* (LP.8.1.X)', 0.9992054353004219)]",PF.2.1,0.99920544,12.974283590098384,99.60539076346855,PF.2.1,0.99920544
UT-UPHL-250418610486,"[('BA.2.86* (BA.2.86.X)', 0.9990408973051501)]",NL.9 LB.1.9,0.99803493 0.00100597,16.87647817398732,99.52847540380564,NL.9,0.99803493
UT-UPHL-250418838622,"[('XEC* (XEC.X)', 0.9983612582831741)]",XEC.31 XEC.39,0.99505000 0.00331126,14.764243317795415,99.52847540380564,XEC.31,0.99505
UT-UPHL-250418151418,"[('XEC* (XEC.X)', 0.9999998952043105)]",XEC.11.1,0.9999999,15.450865088420503,99.57194930274554,XEC.11.1,0.9999999
