Aggregated Freyja results,,,,,,,
Sample,summarized,lineages,abundances,resid,coverage,primary lineage,primary lineage percentage
UT-UPHL-240207379719,"[('BA.2.86* (BA.2.86.X)', 0.9919164664987383)]",JN.1 JN.1.44 JN.1.46 JN.1.3 JN.1.13,0.98402771 0.00303243 0.00265333 0.00110952 0.00109347,22.11522657,99.90970805604789,JN.1,0.98402771
UT-UPHL-240207381263,"[('BA.2.86* (BA.2.86.X)', 0.9961715032776957)]",JN.1.4.5,0.9961715,18.82151942,100,JN.1.4.5,0.9961715
UT-UPHL-240207447394,"[('BA.2.86* (BA.2.86.X)', 0.9930633546214118)]",JN.1.42,0.99306335,17.607047583227292,100,JN.1.42,0.99306335
UT-UPHL-240207487206,"[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9961689364455217)]",JD.1.1.7 JD.1.1,0.70124900 0.29491993,13.633176213244983,99.93311707855399,JD.1.1.7,0.701249
UT-UPHL-240207499241,"[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9970849979694125)]",JD.1.1.7 JD.1.1.2,0.99521114 0.00187386,15.967378901136506,100,JD.1.1.7,0.99521114
UT-UPHL-240207530727,"[('BA.2.86* (BA.2.86.X)', 0.9938744116515019)]",JN.1.1.2,0.99387441,22.32642184616335,99.94314951677089,JN.1.1.2,0.99387441
UT-UPHL-240207532640,"[('BA.2.86* (BA.2.86.X)', 0.9946543267301986)]",JN.1.4.3,0.99465433,19.69788826152325,100,JN.1.4.3,0.99465433
UT-UPHL-240207572380,"[('BA.2.86* (BA.2.86.X)', 0.990316796605082)]",JN.1.36 JN.1.44 JN.1.51,0.98594142 0.00329296 0.00108242,16.44490258528473,99.94649366,JN.1.36,0.98594142
UT-UPHL-240207594676,"[('BA.2.86* (BA.2.86.X)', 0.9910721247675945)]",JN.1.4,0.99107212,20.18230016283171,100,JN.1.4,0.99107212
UT-UPHL-240207636500,"[('EG.5* [Omicron (EG.5.X)]', 0.9961151639622721)]",HK.17 HK.28,0.99500358 0.00111158,20.851357138633404,100,HK.17,0.99500358
UT-UPHL-240207648366,"[('BA.2.86* (BA.2.86.X)', 0.9966314055933163)]",JN.1.29,0.99663141,17.62148514330163,99.98327927,JN.1.29,0.99663141
UT-UPHL-240207658810,"[('BA.2.86* (BA.2.86.X)', 0.9876138813237456)]",JN.1 JN.1.44 JN.1.47.1,0.98386104 0.00274876 0.00100408,17.582490812040568,100,JN.1,0.98386104
UT-UPHL-240207702661,"[('BA.2.86* (BA.2.86.X)', 0.9910210613099262)]",JN.1 JN.1.35,0.98939273 0.00162833,16.933542119047914,99.94314951677089,JN.1,0.98939273
UT-UPHL-240207709838,"[('BA.2.86* (BA.2.86.X)', 0.9962760332281354)]",JN.1.4.5,0.99627603,19.624096718840917,100,JN.1.4.5,0.99627603
UT-UPHL-240207726835,"[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.9982012399190768)]",JF.1.1.2,0.99820124,14.008159875043578,99.99665585,JF.1.1.2,0.99820124
UT-UPHL-240207765559,"[('BA.2.86* (BA.2.86.X)', 0.99714620827817)]",JN.1.1.4,0.99714621,16.368614356789138,99.99665585,JN.1.1.4,0.99714621
UT-UPHL-240207794398,"[('BA.2.86* (BA.2.86.X)', 0.9904979957717682)]",JN.1.2 JN.1.44 JN.1.51 JN.1.56,0.98613092 0.00221521 0.00107954 0.00107233,17.152465633301375,99.94314951677089,JN.1.2,0.98613092
UT-UPHL-240207797602,"[('XBB* (XBB.X)', 0.9964226955378966)]",FY.5.5 FY.5.5.1,0.99370772 0.00271498,16.10087159296966,99.94314951677089,FY.5.5,0.99370772
UT-UPHL-250307134790,"[('BA.2.86* (BA.2.86.X)', 0.9991722308816398)]",NT.5,0.99917223,13.32145649141884,99.82610440424038,NT.5,0.99917223
UT-UPHL-250307138642,"[('LP.8.1* (LP.8.1.X)', 0.9986376008549813)]",LP.8.1 LP.8.1.7,0.87363934 0.12499827,28.70922079568961,99.68230612313145,LP.8.1,0.87363934
UT-UPHL-250307159619,"[('XEC* (XEC.X)', 0.9992868001973004)]",XEC.4.6,0.9992868,15.434348149685027,99.83279269638498,XEC.4.6,0.9992868
UT-UPHL-250307184242,"[('Omicron', 0.9999997807916755)]",XEQ,0.99999978,12.000815516478694,95.91679764572116,XEQ,0.99999978
UT-UPHL-250307191545,"[('BA.2.86* (BA.2.86.X)', 0.9979795386786902)]",MV.1,0.99797954,15.176621278726206,99.83279269638498,MV.1,0.99797954
UT-UPHL-250307219795,"[('KP.3* (KP.3.X)', 0.9975220263879265)]",PG.1,0.99752203,18.892671120853482,99.83279269638498,PG.1,0.99752203
UT-UPHL-250307250151,"[('Omicron', 0.9991799926206801)]",XEQ,0.99917999,16.337883260508804,99.64886466240846,XEQ,0.99917999
UT-UPHL-250307254868,"[('LP.8.1* (LP.8.1.X)', 0.9986031593973135)]",LP.8.1.3 NY.14,0.99757804 0.00102512,15.748211958819482,99.67896197705916,LP.8.1.3,0.99757804
UT-UPHL-250307262641,"[('XEC* (XEC.X)', 0.9939078217469749)]",XEC.38 XEC.37 XEC.18 XEC.36 XEC.35.1,0.94288674 0.04509252 0.00283226 0.00182314 0.00127316,19.83354093627038,99.86289001103569,XEC.38,0.94288674
UT-UPHL-250307274328,"[('Omicron', 0.9987391857862937)]",XEQ,0.99873919,20.863779266155145,99.83279269638498,XEQ,0.99873919
UT-UPHL-250307308974,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9991370117040991)]",PA.1.3,0.99913701,14.598532031539827,99.68565026920376,PA.1.3,0.99913701
UT-UPHL-250307331967,"[('LP.8.1* (LP.8.1.X)', 0.9929065396104353)]",LP.8.1 LP.8.1.12,0.99151842 0.00138812,15.69503359852348,99.83279269638498,LP.8.1,0.99151842
UT-UPHL-250307365532,"[('LP.8.1* (LP.8.1.X)', 0.9972518726103645)]",NY.13,0.99725187,17.36558695779874,99.90301976390329,NY.13,0.99725187
UT-UPHL-250307370982,"[('XEC* (XEC.X)', 0.9954457032884089)]",XEC.20 XEC.25,0.98628375 0.00916196,17.21925941227436,99.86957830318028,XEC.20,0.98628375
UT-UPHL-250307390679,"[('LP.8.1* (LP.8.1.X)', 0.995439267174617)]",LP.8.1 NY.13.1 NY.3,0.99292002 0.00134677 0.00117248,14.588306241252138,99.52847540380564,LP.8.1,0.99292002
UT-UPHL-250307401691,"[('XEC* (XEC.X)', 0.995982145090634)]",XEC.29 XEC.20 XEC.15 XEC.12,0.98467760 0.00613514 0.00286530 0.00230410,16.482521659991015,99.83279269638498,XEC.29,0.9846776
UT-UPHL-250307411979,"[('XEC* (XEC.X)', 0.9944124793844564)]",XEC.36,0.99441248,20.606495952306787,99.77928635922817,XEC.36,0.99441248
UT-UPHL-250307414835,"[('LP.8.1* (LP.8.1.X)', 0.9992492219642369)]",LP.8.1.1 NY.9,0.99742615 0.00182308,13.343497325817458,99.62545563990236,LP.8.1.1,0.99742615
UT-UPHL-250307441687,"[('LP.8.1* (LP.8.1.X)', 0.996703810979816)]",NY.13.1 NY.13 NY.13.2,0.99389853 0.00151830 0.00128698,14.295847774513845,99.83279269638498,NY.13.1,0.99389853
UT-UPHL-250307446159,"[('XEC* (XEC.X)', 0.9992288699100137)]",XEC.4.2,0.99922887,14.58314749700099,98.72253620038123,XEC.4.2,0.99922887
UT-UPHL-250307456796,"[('LP.8.1* (LP.8.1.X)', 0.9999997345800199)]",PD.2,0.99999973,13.663183694350302,99.64886466240846,PD.2,0.99999973
