Method,Depth,Failed_mean,Failed_std,Mediocre_mean,Mediocre_std,Passed_mean,Passed_std
bbnorm,10,93.1,4.950808245438825,2.7590909090909093,4.488560710514204,0.1409090909090909,0.6361693945382118
seqkit,10,94.06363636363636,2.186622978433457,1.9227272727272726,2.1599154004618666,0.013636363636363636,0.11624040018478217
bbnorm,100,2.5727272727272728,6.017416261494047,25.568181818181817,11.100614420595662,67.85909090909091,13.158782996388217
seqkit,100,32.945454545454545,16.1691042912834,52.35,17.681356432604474,10.704545454545455,4.8104696770592135
bbnorm,1000,2.209090909090909,5.409437811327547,4.590909090909091,7.0248033555024625,89.2,11.839335412669856
seqkit,1000,7.640909090909091,10.134851443492016,13.727272727272727,7.1441889288004115,74.63181818181818,16.334010414546057
bbnorm,10000,2.1780821917808217,5.403895466549757,4.447488584474886,6.826199568178027,89.37442922374429,11.619600808656742
seqkit,10000,2.268181818181818,5.183913153519215,5.318181818181818,6.88646587185576,88.41363636363636,11.399222734639531
bbnorm,200,2.4,5.738120545724031,5.113636363636363,7.26540532732766,88.48636363636363,12.338261219184282
seqkit,200,25.431818181818183,16.549631632800864,47.85909090909091,15.416090718825528,22.70909090909091,6.971364068674017
bbnorm,30,6.127272727272727,6.497781976198625,88.65,7.1058693342499515,1.2227272727272727,2.77141834649834
seqkit,30,72.81818181818181,6.823518044645592,22.75,7.149176917212728,0.4318181818181818,0.9791835027654437
bbnorm,300,2.309090909090909,5.594755297688441,4.990909090909091,7.3185764198794585,88.7,12.25978315897238
seqkit,300,21.327272727272728,16.325518076717362,40.96363636363636,11.909036722852585,33.70909090909091,9.230528517047471
seqkit,400,16.736363636363638,15.119721478389073,30.09090909090909,5.569888802322414,49.17272727272727,13.359694778804437
bbnorm,400,2.2772727272727273,5.567389706537372,4.827272727272727,7.114021258338561,88.89545454545454,12.027858730347385
seqkit,50,53.79090909090909,11.259573667318847,40.627272727272725,12.465740515185882,1.5818181818181818,2.1105597438936967
bbnorm,50,2.8227272727272728,6.451818745963005,85.47727272727273,14.44069692528159,7.7,13.952986947204478
seqkit,500,12.272727272727273,13.357678065602407,20.463636363636365,5.207436327903963,63.263636363636365,16.504974909467204
bbnorm,500,2.2590909090909093,5.515537132021822,4.7727272727272725,7.054464036881511,88.96818181818182,11.934902821343742
seqkit,5000,2.8227272727272728,5.630188672814636,6.463636363636364,7.046715965225368,86.71363636363637,11.952141836467508
bbnorm,5000,2.172727272727273,5.395514949392302,4.427272727272728,6.810492966432618,89.4,11.60081873980409
raw,all,2.0681818181818183,5.203606614001025,4.486363636363636,6.961393568468171,89.44545454545455,11.552213303628715
