bbmap stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_method_depth,Reads Used,Reads Used (bases),Mapping Time (s),Reads/sec,kBases/sec,Mated pairs (pct pairs),Mated pairs (num pairs),Mated pairs (pct bases),Mated pairs (num bases),Bad pairs (pct pairs),Bad pairs (num pairs),Bad pairs (pct bases),Bad pairs (num bases),insert size avg,Read 1 mapped (pct reads),Read 1 mapped (num reads),Read 1 mapped (pct bases),Read 1 mapped (num bases),Read 1 unambiguous (pct reads),Read 1 unambiguous (num reads),Read 1 unambiguous (pct bases),Read 1 unambiguous (num bases),Read 1 ambiguous (pct reads),Read 1 ambiguous (num reads),Read 1 ambiguous (pct bases),Read 1 ambiguous (num bases),Read 1 low-Q discards (pct reads),Read 1 low-Q discards (num reads),Read 1 low-Q discards (pct bases),Read 1 low-Q discards (num bases),Read 1 perfect best site (pct reads),Read 1 perfect best site (num reads),Read 1 perfect best site (pct bases),Read 1 perfect best site (num bases),Read 1 semiperfect site (pct reads),Read 1 semiperfect site (num reads),Read 1 semiperfect site (pct bases),Read 1 semiperfect site (num bases),Read 1 rescued (pct reads),Read 1 rescued (num reads),Read 1 Match Rate (pct bases),Read 1 Match Rate (num bases),Read 1 Error Rate (pct reads),Read 1 Error Rate (num reads),Read 1 Error Rate (pct bases),Read 1 Error Rate (num bases),Read 1 Sub Rate (pct reads),Read 1 Sub Rate (num reads),Read 1 Sub Rate (pct bases),Read 1 Sub Rate (num bases),Read 1 Del Rate (pct reads),Read 1 Del Rate (num reads),Read 1 Del Rate (pct bases),Read 1 Del Rate (num bases),Read 1 Ins Rate (pct reads),Read 1 Ins Rate (num reads),Read 1 Ins Rate (pct bases),Read 1 Ins Rate (num bases),Read 1 N Rate (pct reads),Read 1 N Rate (num reads),Read 1 N Rate (pct bases),Read 1 N Rate (num bases),Read 2 mapped (pct reads),Read 2 mapped (num reads),Read 2 mapped (pct bases),Read 2 mapped (num bases),Read 2 unambiguous (pct reads),Read 2 unambiguous (num reads),Read 2 unambiguous (pct bases),Read 2 unambiguous (num bases),Read 2 ambiguous (pct reads),Read 2 ambiguous (num reads),Read 2 ambiguous (pct bases),Read 2 ambiguous (num bases),Read 2 low-Q discards (pct reads),Read 2 low-Q discards (num reads),Read 2 low-Q discards (pct bases),Read 2 low-Q discards (num bases),Read 2 perfect best site (pct reads),Read 2 perfect best site (num reads),Read 2 perfect best site (pct bases),Read 2 perfect best site (num bases),Read 2 semiperfect site (pct reads),Read 2 semiperfect site (num reads),Read 2 semiperfect site (pct bases),Read 2 semiperfect site (num bases),Read 2 rescued (pct reads),Read 2 rescued (num reads),Read 2 Match Rate (pct bases),Read 2 Match Rate (num bases),Read 2 Error Rate (pct reads),Read 2 Error Rate (num reads),Read 2 Error Rate (pct bases),Read 2 Error Rate (num bases),Read 2 Sub Rate (pct reads),Read 2 Sub Rate (num reads),Read 2 Sub Rate (pct bases),Read 2 Sub Rate (num bases),Read 2 Del Rate (pct reads),Read 2 Del Rate (num reads),Read 2 Del Rate (pct bases),Read 2 Del Rate (num bases),Read 2 Ins Rate (pct reads),Read 2 Ins Rate (num reads),Read 2 Ins Rate (pct bases),Read 2 Ins Rate (num bases),Read 2 N Rate (pct reads),Read 2 N Rate (num reads),Read 2 N Rate (pct bases),Read 2 N Rate (num bases),sample,method,depth
UT-UPHL-240207702661_bbnorm_10000,29705826,4016818446,240.888,123317.82,16675.02,33.5807,4987714,32.8822,1320816730,0.0008,119,0.0009,35466,166.2,33.6364,4995981,32.9716,661447556,33.6363,4995976,32.9716,661447226,0,5,0,330,0,0,0,0,23.2916,3459478,22.5533,452444822,23.2916,3459478,22.5533,452444822,0.1028,15263,95.2642,658432596,30.7347,1535500,4.7355,32730410,29.7009,1483850,0.4258,2943060,2.1645,108136,4.2996,29717287,0.209,10444,0.0101,70063,0.0299,1495,0.0003,1837,33.59,4989095,32.9163,661848368,33.59,4989090,32.9162,661848038,0,5,0,330,0,0,0,0,22.6943,3370766,21.8586,439511202,22.6943,3370766,21.8586,439511202,0.0862,12809,95.1377,658091650,32.434,1618162,4.8623,33633454,31.4175,1567449,0.5293,3661252,2.2012,109821,4.3193,29877393,0.2639,13166,0.0137,94809,0.0079,393,0.0001,657,UT-UPHL-240207702661,bbnorm,10000
UT-UPHL-240207702661_raw_all,137486262,18388584622,1852.023,74235.74,9928.92,68.0506,46780130,67.4589,12404729776,0.0015,1010,0.0016,301912,165.72,68.1284,46833567,67.606,6209364520,68.1283,46833556,67.606,6209363643,0,11,0,877,0,0,0,0,48.6933,33473333,47.6495,4376436980,48.6933,33473333,47.6495,4376436980,0.1785,122678,98.7284,6186926362,28.4763,13336467,1.271,79648692,27.4134,12838658,0.3513,22014175,2.2059,1033101,0.9136,57249906,0.1465,68588,0.0061,384611,0.0701,32813,0.0006,39372,68.0608,46787121,67.5177,6214289014,68.0608,46787110,67.5177,6214288137,0,11,0,877,0,0,0,0,47.3808,32571024,46.1548,4248062350,47.3808,32571024,46.1548,4248062350,0.166,114092,98.6834,6188575897,30.375,14211592,1.3164,82555536,29.3371,13725994,0.4026,25248845,2.2209,1039083,0.9066,56854353,0.1619,75737,0.0072,452338,0.0165,7730,0.0002,11934,UT-UPHL-240207702661,raw,all
UT-UPHL-240207702661_seqkit_10,1926,257765,0.8,2407.32,322.18,64.9013,625,64.759,166926,0,0,0,0,170.61,64.9013,625,64.8246,83463,64.9013,625,64.8246,83463,0,0,0,0,0,0,0,0,46.5213,448,45.757,58913,46.5213,448,45.757,58913,0.2077,2,99.4298,83174,28,175,0.5678,475,26.4,165,0.3431,287,3.2,20,0.2247,188,0,0,0,0,0.32,2,0.0024,2,64.9013,625,64.8221,83629,64.9013,625,64.8221,83629,0,0,0,0,0,0,0,0,45.2752,436,44.3467,57213,45.2752,436,44.3467,57213,0.9346,9,99.4201,83319,30.24,189,0.5799,486,28.96,181,0.3699,310,2.88,18,0.21,176,0,0,0,0,0,0,0,0,UT-UPHL-240207702661,seqkit,10
UT-UPHL-240207702661_seqkit_30,5788,773304,1.201,4820.89,644.09,66.8279,1934,66.7497,516178,0,0,0,0,168.38,66.8279,1934,66.8124,258089,66.8279,1934,66.8124,258089,0,0,0,0,0,0,0,0,47.2011,1366,46.5695,179893,47.2011,1366,46.5695,179893,0.3801,11,99.4724,257161,29.2141,565,0.5264,1361,27.9214,540,0.3543,916,2.7921,54,0.1686,436,0.1034,2,0.0035,9,0.1551,3,0.0012,3,66.8279,1934,66.8034,258539,66.8279,1934,66.8034,258539,0,0,0,0,0,0,0,0,46.3027,1340,45.4967,176079,46.3027,1340,45.4967,176079,1.0366,30,99.4044,257512,30.7135,594,0.5956,1543,29.5243,571,0.3934,1019,2.6887,52,0.1992,516,0.0517,1,0.0031,8,0,0,0,0,UT-UPHL-240207702661,seqkit,30
UT-UPHL-240207702661_seqkit_50,9668,1293034,1.717,5629.45,752.9,67.7079,3273,67.4997,872794,0,0,0,0,167.82,67.7493,3275,67.6151,436676,67.7493,3275,67.6151,436676,0,0,0,0,0,0,0,0,48.1796,2329,47.5082,306820,48.1796,2329,47.5082,306820,0.2689,13,99.4931,435116,28.7023,940,0.5056,2211,27.4809,900,0.3526,1542,2.5954,85,0.1502,657,0.1221,4,0.0027,12,0.1832,6,0.0014,6,67.7079,3273,67.5417,437135,67.7079,3273,67.5417,437135,0,0,0,0,0,0,0,0,47.3728,2290,46.5421,301224,47.3728,2290,46.5421,301224,0.8688,42,99.4395,435401,30.0031,982,0.5602,2453,28.842,944,0.3937,1724,2.3526,77,0.1644,720,0.0611,2,0.0021,9,0.0306,1,0.0002,1,UT-UPHL-240207702661,seqkit,50
UT-UPHL-240207702661_seqkit_100,19348,2583513,2.668,7252.71,968.45,67.6969,6549,67.1911,1735890,0,0,0,0,165.21,67.7486,6554,67.3082,868504,67.7486,6554,67.3082,868504,0,0,0,0,0,0,0,0,48.005,4644,47.0761,607441,48.005,4644,47.0761,607441,0.2791,27,99.4877,865309,29.051,1904,0.5115,4449,27.9066,1829,0.3646,3171,2.5328,166,0.145,1261,0.1221,8,0.002,17,0.1068,7,0.0008,7,67.7073,6550,67.2343,869456,67.7073,6550,67.2343,869456,0,0,0,0,0,0,0,0,46.9506,4542,45.8337,592710,46.9506,4542,45.8337,592710,0.5065,49,99.4312,865814,30.6412,2007,0.5683,4949,29.5267,1934,0.4076,3549,2.3664,155,0.1506,1311,0.1374,9,0.0102,89,0.0458,3,0.0005,4,UT-UPHL-240207702661,seqkit,100
UT-UPHL-240207702661_seqkit_200,29034,3879139,2.452,11839.61,1581.85,68.0099,9873,67.5093,2618778,0,0,0,0,165.77,68.0719,9882,67.6384,1310494,68.0719,9882,67.6384,1310494,0,0,0,0,0,0,0,0,48.3571,7020,47.4448,919244,48.3571,7020,47.4448,919244,0.2755,40,99.4846,1305704,28.8808,2854,0.5147,6755,27.7171,2739,0.3599,4723,2.4084,238,0.1504,1974,0.172,17,0.0044,58,0.0911,9,0.0007,9,68.0168,9874,67.5557,1311687,68.0168,9874,67.5557,1311687,0,0,0,0,0,0,0,0,47.4134,6883,46.3397,899749,47.4134,6883,46.3397,899749,0.3995,58,99.423,1306154,30.2815,2990,0.5767,7576,29.1776,2881,0.4126,5420,2.3091,228,0.1558,2047,0.1519,15,0.0083,109,0.0304,3,0.0003,4,UT-UPHL-240207702661,seqkit,200
UT-UPHL-240207702661_seqkit_300,38698,5167857,3.042,12720.74,1698.77,68.081,13173,67.5711,3491980,0,0,0,0,165.52,68.1327,13183,67.6891,1747143,68.1327,13183,67.6891,1747143,0,0,0,0,0,0,0,0,48.4159,9368,47.4711,1225291,48.4159,9368,47.4711,1225291,0.2532,49,99.4825,1740749,28.8705,3806,0.5169,9045,27.7099,3653,0.3594,6288,2.4122,318,0.1521,2661,0.1745,23,0.0055,96,0.0759,10,0.0006,10,68.0914,13175,67.6175,1749081,68.0914,13175,67.6175,1749081,0,0,0,0,0,0,0,0,47.465,9184,46.3751,1199597,47.465,9184,46.3751,1199597,0.3566,69,99.3321,1741676,30.2846,3990,0.6676,11706,29.2296,3851,0.4137,7254,2.3074,304,0.2456,4306,0.1746,23,0.0083,146,0.0304,4,0.0003,5,UT-UPHL-240207702661,seqkit,300
UT-UPHL-240207702661_seqkit_400,58066,7756393,3.154,18411.07,2459.33,67.8986,19713,67.3809,5226326,0,0,0,0,165.7,67.964,19732,67.5134,2615513,67.964,19732,67.5134,2615513,0,0,0,0,0,0,0,0,48.4552,14068,47.4619,1838705,48.4552,14068,47.4619,1838705,0.2136,62,99.1825,2605975,28.6438,5652,0.817,21466,27.4883,5424,0.356,9354,2.4427,482,0.4545,11942,0.1875,37,0.0065,170,0.0659,13,0.0005,14,67.9089,19716,67.4302,2617864,67.9089,19716,67.4302,2617864,0,0,0,0,0,0,0,0,47.3565,13749,46.1936,1793386,47.3565,13749,46.1936,1793386,0.3065,89,99.0632,2606885,30.2495,5964,0.9364,24643,29.1641,5750,0.4066,10700,2.3737,468,0.5195,13672,0.2029,40,0.0103,271,0.0304,6,0.0003,8,UT-UPHL-240207702661,seqkit,400
UT-UPHL-240207702661_seqkit_500,96574,12911099,3.973,24306.77,3249.6,67.8443,32760,67.304,8689690,0,0,0,0,165.62,67.9127,32793,67.4395,4349011,67.9127,32793,67.4395,4349011,0,0,0,0,0,0,0,0,48.5203,23429,47.5322,3065237,48.5203,23429,47.5322,3065237,0.1864,90,98.7038,4333244,28.5122,9350,1.2958,56887,27.3961,8984,0.3532,15507,2.345,769,0.9371,41140,0.183,60,0.0055,240,0.0579,19,0.0005,20,67.8568,32766,67.3616,4353136,67.8568,32766,67.3616,4353136,0,0,0,0,0,0,0,0,47.3502,22864,46.1994,2985562,47.3502,22864,46.1994,2985562,0.2464,119,98.6154,4335240,30.2112,9899,1.3844,60861,29.1155,9540,0.3983,17508,2.3195,760,0.9775,42973,0.1862,61,0.0086,380,0.0183,6,0.0002,8,UT-UPHL-240207702661,seqkit,500
UT-UPHL-240207702661_seqkit_1000,193276,25836091,5.611,34445.22,4604.45,67.9681,65683,67.3869,17410146,0.001,1,0.0012,300,165.6,68.0343,65747,67.5211,8713276,68.0343,65747,67.5211,8713276,0,0,0,0,0,0,0,0,48.6279,46993,47.622,6145391,48.6279,46993,47.622,6145391,0.1738,168,99.0275,8681174,28.4728,18720,0.9719,85200,27.3746,17998,0.3585,31427,2.3165,1523,0.6063,53152,0.1825,120,0.0071,621,0.0684,45,0.0006,54,67.9784,65693,67.4456,8721773,67.9784,65693,67.4456,8721773,0,0,0,0,0,0,0,0,47.1926,45606,45.9864,5946758,47.1926,45606,45.9864,5946758,0.2028,196,98.919,8685004,30.5695,20082,1.0808,94894,29.4978,19378,0.4083,35846,2.3107,1518,0.6622,58138,0.2009,132,0.0104,910,0.0167,11,0.0001,13,UT-UPHL-240207702661,seqkit,1000
UT-UPHL-240207702661_seqkit_5000,968966,129597183,16.303,59435.59,7949.39,67.9555,329233,67.3833,87326828,0.0014,7,0.0016,2092,165.79,68.0313,329600,67.528,43711535,68.0313,329600,67.528,43711535,0,0,0,0,0,0,0,0,48.5563,235247,47.5289,30765881,48.5563,235247,47.5289,30765881,0.1736,841,98.5978,43552359,28.5783,94194,1.4016,619116,27.4994,90638,0.3533,156056,2.24,7383,1.0418,460194,0.1617,533,0.0065,2866,0.0655,216,0.0006,254,67.9646,329277,67.4407,43746265,67.9646,329277,67.4407,43746265,0,0,0,0,0,0,0,0,47.2888,229106,46.0857,29894032,47.2888,229106,46.0857,29894032,0.1626,788,98.6831,43565017,30.413,100143,1.3167,581273,29.3719,96715,0.4035,178111,2.2355,7361,0.9063,400108,0.1652,544,0.0069,3054,0.017,56,0.0002,83,UT-UPHL-240207702661,seqkit,5000
UT-UPHL-240207702661_seqkit_10000,1937808,259151634,29.624,65413.29,8748.01,67.955,658419,67.3669,174582484,0.001,10,0.0012,2996,165.73,68.0338,659182,67.5145,87390568,68.0338,659182,67.5145,87390568,0,0,0,0,0,0,0,0,48.5504,470407,47.5151,61503371,48.5504,470407,47.5151,61503371,0.1723,1669,98.5952,87073073,28.5882,188448,1.4043,1240148,27.5271,181454,0.3528,311607,2.2039,14528,1.0453,923167,0.1528,1007,0.0061,5374,0.0671,442,0.0006,514,67.9646,658512,67.425,87458284,67.9646,658512,67.425,87458284,0,0,0,0,0,0,0,0,47.255,457856,46.0404,59719952,47.255,457856,46.0404,59719952,0.1617,1567,98.6155,87095373,30.4617,200594,1.3843,1222625,29.4221,193748,0.4039,356695,2.2217,14630,0.9736,859860,0.1637,1078,0.0069,6070,0.0164,108,0.0002,146,UT-UPHL-240207702661,seqkit,10000
UT-UPHL-240207709838_bbnorm_10,7886,1057997,3.112,2534.04,339.97,84.3774,3327,85.9267,909102,0,0,0,0,194.6,85.823,3384,87.5736,461604,85.823,3384,87.5736,461604,0,0,0,0,0,0,0,0,27.9229,1101,28.5318,150392,27.9229,1101,28.5318,150392,4.0325,159,80.4347,451484,67.4645,2283,19.5653,109821,66.1052,2237,1.7345,9736,4.7577,161,17.7624,99701,1.7435,59,0.0684,384,0,0,0,0,85.1636,3358,86.3737,458552,85.1636,3358,86.3737,458552,0,0,0,0,0,0,0,0,25.615,1010,25.2836,134229,25.615,1010,25.2836,134229,4.0071,158,67.0178,439254,69.8928,2347,32.9808,216166,68.6718,2306,2.838,18601,5.9857,201,30.0379,196877,3.0971,104,0.105,688,0.0893,3,0.0014,9,UT-UPHL-240207709838,bbnorm,10
UT-UPHL-240207709838_bbnorm_30,42962,5906993,5.345,8037.29,1105.07,94.0645,20206,94.6076,5588462,0.0279,6,0.0264,1558,198.05,95.3401,20480,96.1014,2829508,95.3308,20478,96.0992,2829442,0.0093,2,0.0022,66,0,0,0,0,23.7419,5100,23.8921,703454,23.7419,5100,23.8921,703454,2.0809,447,76.2655,2756334,75.083,15377,23.7325,857723,74.1699,15190,1.9738,71337,4.3994,901,21.7098,784622,1.1475,235,0.0488,1764,0.083,17,0.002,73,94.274,20251,94.8993,2811583,94.2647,20249,94.8971,2811517,0.0093,2,0.0022,66,0,0,0,0,19.3985,4167,18.1399,537430,19.3985,4167,18.1399,537430,1.4431,310,80.5103,2684535,79.4134,16082,19.4884,649821,78.7023,15938,3.7264,124252,5.101,1033,15.6794,522815,1.9456,394,0.0826,2754,0.0988,20,0.0013,42,UT-UPHL-240207709838,bbnorm,30
UT-UPHL-240207709838_bbnorm_50,91368,12668391,8.631,10586.43,1467.83,96.0336,43872,96.3085,12200738,0.0285,13,0.0307,3886,200.85,97.1259,44371,97.6234,6164120,97.1237,44370,97.6229,6164087,0.0022,1,0.0005,33,0,0,0,0,21.8567,9985,21.9211,1384141,21.8567,9985,21.9211,1384141,2.0357,930,84.8514,5994871,77.4853,34381,15.1479,1070218,76.7709,34064,2.3469,165811,4.2708,1895,12.753,901020,1.0728,476,0.0479,3387,0.0496,22,0.0007,51,96.2372,43965,96.6387,6140624,96.235,43964,96.6382,6140591,0.0022,1,0.0005,33,0,0,0,0,16.8527,7699,15.5691,989290,16.8527,7699,15.5691,989290,1.3134,600,85.7442,5843150,82.4792,36262,14.2544,971388,81.9402,36025,4.2709,291046,4.8925,2151,9.8906,674009,1.8879,830,0.0929,6333,0.0705,31,0.0014,95,UT-UPHL-240207709838,bbnorm,50
UT-UPHL-240207709838_bbnorm_100,186988,26025291,15.347,12184.35,1695.84,96.9838,90674,97.0725,25263388,0.0321,30,0.0346,9004,201.42,98.0394,91661,98.3575,12757684,98.0394,91661,98.3575,12757684,0,0,0,0,0,0,0,0,22.3244,20872,22.248,2885730,22.3244,20872,22.248,2885730,2.0354,1903,88.1149,12400578,77.2171,70778,11.8843,1672497,76.496,70117,2.4859,349849,4.1664,3819,9.3477,1315514,1.0942,1003,0.0507,7134,0.0491,45,0.0009,123,97.1699,90848,97.4169,12717357,97.1699,90848,97.4169,12717357,0,0,0,0,0,0,0,0,17.276,16152,15.9708,2084924,17.276,16152,15.9708,2084924,1.1648,1089,87.258,12087023,82.2153,74691,12.7409,1764874,81.6639,74190,4.449,616282,4.709,4278,8.1915,1134698,1.9912,1809,0.1003,13894,0.055,50,0.0011,158,UT-UPHL-240207709838,bbnorm,100
UT-UPHL-240207709838_bbnorm_200,291934,40589008,21.547,13549.02,1883.79,97.1692,141835,97.2253,39462774,0.0308,45,0.0333,13522,199.82,98.2791,143455,98.5663,19939040,98.2784,143454,98.5662,19939008,0.0007,1,0.0002,32,0,0,0,0,25.7175,37539,25.4778,5153914,25.7175,37539,25.4778,5153914,1.9792,2889,87.4452,19409155,73.8176,105895,12.5538,2786411,73.0536,104799,2.3356,518396,4.1288,5923,10.1675,2256746,1.0819,1552,0.0508,11269,0.0495,71,0.001,220,97.3501,142099,97.5632,19863820,97.3494,142098,97.563,19863788,0.0007,1,0.0002,32,0,0,0,0,20.7752,30325,19.4893,3968002,20.7752,30325,19.4893,3968002,1.1256,1643,86.1325,18933476,78.6536,111766,13.8659,3047982,78.0421,110897,4.1306,907987,4.6334,6584,9.6351,2117971,2,2842,0.1002,22024,0.0556,79,0.0015,333,UT-UPHL-240207709838,bbnorm,200
UT-UPHL-240207709838_bbnorm_300,356464,49453505,24.181,14741.43,2045.13,97.2379,173309,97.2989,48117694,0.0264,47,0.0286,14140,197.95,98.3521,175295,98.6413,24314584,98.3516,175294,98.6411,24314552,0.0006,1,0.0001,32,0,0,0,0,28.8528,51425,28.5759,7043805,28.8528,51425,28.5759,7043805,1.8745,3341,88.1327,23707435,70.65,123846,11.866,3191915,69.82,122391,2.2032,592661,4.1547,7283,9.6102,2585123,1.0993,1927,0.0525,14131,0.0525,92,0.0013,357,97.4073,173611,97.6156,24212584,97.4068,173610,97.6155,24212552,0.0006,1,0.0001,32,0,0,0,0,24.2807,43276,23.0256,5711260,24.2807,43276,23.0256,5711260,1.0599,1889,86.5252,23158582,75.0672,130325,13.4729,3606030,74.3519,129083,3.8388,1027460,4.6138,8010,9.5368,2552531,1.9457,3378,0.0973,26039,0.0582,101,0.0019,503,UT-UPHL-240207709838,bbnorm,300
UT-UPHL-240207709838_bbnorm_400,410188,56788502,26.652,15390.66,2130.76,97.3495,199658,97.418,55322198,0.0234,48,0.0255,14460,196.44,98.429,201872,98.7173,27945816,98.4285,201871,98.7172,27945784,0.0005,1,0.0001,32,0,0,0,0,31.7186,65053,31.3733,8881433,31.7186,65053,31.3733,8881433,1.7572,3604,89.0418,27291544,67.7637,136796,10.9566,3358236,66.8973,135047,2.0807,637746,4.064,8204,8.8236,2704446,1.0824,2185,0.0523,16044,0.0515,104,0.0016,482,97.5075,199982,97.7174,27829497,97.507,199981,97.7173,27829465,0.0005,1,0.0001,32,0,0,0,0,27.4815,56363,26.2108,7464721,27.4815,56363,26.2108,7464721,0.9864,2023,86.7799,26705240,71.811,143609,13.2177,4067550,71.0414,142070,3.5565,1094464,4.5219,9043,9.5668,2944047,1.8892,3778,0.0944,29039,0.0565,113,0.0025,754,UT-UPHL-240207709838,bbnorm,400
UT-UPHL-240207709838_bbnorm_500,459388,63478888,27.52,16692.92,2306.65,97.5563,224081,97.602,61956684,0.0257,59,0.028,17774,194.97,98.5855,226445,98.8452,31282597,98.5851,226444,98.8451,31282565,0.0004,1,0.0001,32,0,0,0,0,34.0636,78242,33.6631,10653707,34.0636,78242,33.6631,10653707,1.6692,3834,88.6743,30589381,65.4335,148171,11.3241,3906403,64.5119,146084,1.9553,674495,4.1118,9311,9.3162,3213731,1.0811,2448,0.0527,18177,0.0526,119,0.0016,544,97.7061,224425,97.8893,31158962,97.7056,224424,97.8892,31158930,0.0004,1,0.0001,32,0,0,0,0,30.1606,69277,28.8827,9193612,30.1606,69277,28.8827,9193612,0.9748,2239,86.9638,29980927,69.1269,155138,13.034,4493490,68.2856,153250,3.3222,1145322,4.5507,10213,9.6191,3316212,1.842,4134,0.0927,31956,0.0517,116,0.0022,757,UT-UPHL-240207709838,bbnorm,500
UT-UPHL-240207709838_bbnorm_1000,686310,94544070,35.668,19241.78,2650.69,98.1125,336678,98.1037,92751246,0.0221,76,0.0242,22868,191.13,99.0086,339753,99.1894,46774007,99.0083,339752,99.1893,46773975,0.0003,1,0.0001,32,0,0,0,0,42.3299,145257,41.831,19725934,42.3299,145257,41.831,19725934,1.3492,4630,90.8164,45949026,57.2322,194448,9.1818,4645601,56.1605,190807,1.5747,796705,4.0624,13802,7.5531,3821534,1.0502,3568,0.0541,27362,0.0477,162,0.0018,914,98.2364,337103,98.3455,46603775,98.2361,337102,98.3454,46603743,0.0003,1,0.0001,32,0,0,0,0,39.0987,134169,37.8897,17955108,39.0987,134169,37.8897,17955108,0.8361,2869,89.7781,45256191,60.1953,202920,10.2198,5151713,59.184,199511,2.5884,1304797,4.3453,14648,7.5486,3805172,1.5776,5318,0.0828,41744,0.043,145,0.0021,1043,UT-UPHL-240207709838,bbnorm,1000
UT-UPHL-240207709838_bbnorm_5000,3120014,428485148,104.222,29936.09,4111.25,99.3819,1550365,99.2997,425484464,0.0171,267,0.0187,80196,183.63,99.7503,1556112,99.7914,213494898,99.7501,1556109,99.7913,213494641,0.0002,3,0.0001,257,0,0,0,0,58.4215,911379,57.8211,123703090,58.4215,911379,57.8211,123703090,0.6509,10154,95.7072,211718248,41.4157,644474,4.292,9494469,39.9643,621890,0.7584,1677670,3.7497,58350,3.4897,7719723,0.78,12138,0.0439,97076,0.0334,520,0.0009,1904,99.4357,1551204,99.4459,213355167,99.4355,1551201,99.4458,213354910,0.0002,3,0.0001,257,0,0,0,0,56.5271,881827,55.5953,119276260,56.5271,881827,55.5953,119276260,0.5308,8281,95.373,210932599,43.1483,669318,4.6262,10231559,41.7377,647437,1.0435,2307901,3.827,59364,3.5317,7810857,0.9074,14076,0.051,112801,0.0169,262,0.0008,1866,UT-UPHL-240207709838,bbnorm,5000
UT-UPHL-240207709838_bbnorm_10000,9931790,1365852598,303.261,32750.02,4503.89,99.7289,4952434,99.637,1360894042,0.0138,684,0.0151,205614,181.85,99.9083,4961339,99.9215,681633412,99.9082,4961338,99.9215,681633380,0,1,0,32,0,0,0,0,62.2226,3089909,61.5971,420195996,62.2226,3089909,61.5971,420195996,0.4526,22476,97.1999,677502458,37.7031,1870577,2.7996,19513435,36.1033,1791207,0.5642,3932279,3.6624,181704,2.2075,15386528,0.5564,27605,0.0279,194628,0.0302,1498,0.0006,4047,99.7606,4954009,99.7596,682040245,99.7606,4954008,99.7596,682040213,0,1,0,32,0,0,0,0,60.5494,3006819,59.6948,408123827,60.5494,3006819,59.6948,408123827,0.4186,20789,97.0994,677088193,39.3015,1947002,2.9001,20222811,37.7325,1869269,0.6793,4736686,3.7035,183473,2.1904,15274062,0.6005,29747,0.0304,212063,0.0111,549,0.0005,3303,UT-UPHL-240207709838,bbnorm,10000
UT-UPHL-240207709838_raw_all,100719208,13846156059,2968.085,33934.07,4665.01,99.8118,50264813,99.7126,13806355320,0.0131,6600,0.0143,1981714,180.73,99.9518,50335322,99.9525,6912847640,99.9518,50335311,99.9524,6912846542,0,11,0,1098,0,0,0,0,63.1802,31817304,62.5496,4326016958,63.1802,31817305,62.5496,4326017109,0.4035,203183,97.8191,6875368251,36.7434,18494927,2.1802,153237479,35.0644,17649794,0.5069,35629112,3.7334,1879241,1.6477,115807882,0.5311,267317,0.0256,1800485,0.0716,36028,0.0007,49792,99.8415,50279784,99.8312,6918320372,99.8415,50279775,99.8312,6918319477,0,9,0,895,0,0,0,0,61.3465,30893870,60.5244,4194353111,61.3465,30893871,60.5244,4194353262,0.393,197917,97.7736,6876873894,38.5477,19381700,2.2262,156576501,36.9016,18554030,0.563,39598842,3.7518,1886421,1.6372,115150008,0.5399,271456,0.026,1827651,0.0176,8841,0.0003,19985,UT-UPHL-240207709838,raw,all
UT-UPHL-240207709838_seqkit_10,1964,267166,1.207,1627.66,221.41,99.8982,981,99.7949,266618,0,0,0,0,180.43,99.8982,981,99.8869,133309,99.8982,981,99.8869,133309,0,0,0,0,0,0,0,0,64.4603,633,63.7352,85061,64.4603,633,63.7352,85061,0.7128,7,98.9805,132621,35.474,348,1.0173,1363,33.945,333,0.4986,668,3.7717,37,0.506,678,0.3058,3,0.0127,17,0.1019,1,0.0022,3,100,982,100,133706,100,982,100,133706,0,0,0,0,0,0,0,0,63.0346,619,62.2298,83205,63.0346,619,62.2298,83205,1.7312,17,98.9951,132892,36.9654,363,1.0027,1346,35.6415,350,0.5848,785,3.055,30,0.3985,535,0.2037,2,0.0194,26,0.1018,1,0.0022,3,UT-UPHL-240207709838,seqkit,10
UT-UPHL-240207709838_seqkit_30,5894,808073,1.922,3067.3,420.53,99.7964,2941,99.695,805608,0.0339,1,0.0374,302,182.14,99.9321,2945,99.9252,403208,99.9321,2945,99.9252,403208,0,0,0,0,0,0,0,0,65.5243,1931,64.9196,261957,65.5243,1931,64.9196,261957,1.0519,31,99.1533,401066,34.3973,1013,0.8455,3420,32.9032,969,0.5125,2073,3.5654,105,0.3172,1283,0.4414,13,0.0158,64,0.1019,3,0.0012,5,99.8643,2943,99.8507,403959,99.8643,2943,99.8507,403959,0,0,0,0,0,0,0,0,63.7937,1880,62.9983,254868,63.7937,1880,62.9983,254868,1.527,45,99.0927,401485,36.1196,1063,0.9066,3673,34.5566,1017,0.5891,2387,3.4998,103,0.2967,1202,0.5776,17,0.0207,84,0.034,1,0.0007,3,UT-UPHL-240207709838,seqkit,30
