bbmap stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_method_depth,Reads Used,Reads Used (bases),Mapping Time (s),Reads/sec,kBases/sec,Mated pairs (pct pairs),Mated pairs (num pairs),Mated pairs (pct bases),Mated pairs (num bases),Bad pairs (pct pairs),Bad pairs (num pairs),Bad pairs (pct bases),Bad pairs (num bases),insert size avg,Read 1 mapped (pct reads),Read 1 mapped (num reads),Read 1 mapped (pct bases),Read 1 mapped (num bases),Read 1 unambiguous (pct reads),Read 1 unambiguous (num reads),Read 1 unambiguous (pct bases),Read 1 unambiguous (num bases),Read 1 ambiguous (pct reads),Read 1 ambiguous (num reads),Read 1 ambiguous (pct bases),Read 1 ambiguous (num bases),Read 1 low-Q discards (pct reads),Read 1 low-Q discards (num reads),Read 1 low-Q discards (pct bases),Read 1 low-Q discards (num bases),Read 1 perfect best site (pct reads),Read 1 perfect best site (num reads),Read 1 perfect best site (pct bases),Read 1 perfect best site (num bases),Read 1 semiperfect site (pct reads),Read 1 semiperfect site (num reads),Read 1 semiperfect site (pct bases),Read 1 semiperfect site (num bases),Read 1 rescued (pct reads),Read 1 rescued (num reads),Read 1 Match Rate (pct bases),Read 1 Match Rate (num bases),Read 1 Error Rate (pct reads),Read 1 Error Rate (num reads),Read 1 Error Rate (pct bases),Read 1 Error Rate (num bases),Read 1 Sub Rate (pct reads),Read 1 Sub Rate (num reads),Read 1 Sub Rate (pct bases),Read 1 Sub Rate (num bases),Read 1 Del Rate (pct reads),Read 1 Del Rate (num reads),Read 1 Del Rate (pct bases),Read 1 Del Rate (num bases),Read 1 Ins Rate (pct reads),Read 1 Ins Rate (num reads),Read 1 Ins Rate (pct bases),Read 1 Ins Rate (num bases),Read 1 N Rate (pct reads),Read 1 N Rate (num reads),Read 1 N Rate (pct bases),Read 1 N Rate (num bases),Read 2 mapped (pct reads),Read 2 mapped (num reads),Read 2 mapped (pct bases),Read 2 mapped (num bases),Read 2 unambiguous (pct reads),Read 2 unambiguous (num reads),Read 2 unambiguous (pct bases),Read 2 unambiguous (num bases),Read 2 ambiguous (pct reads),Read 2 ambiguous (num reads),Read 2 ambiguous (pct bases),Read 2 ambiguous (num bases),Read 2 low-Q discards (pct reads),Read 2 low-Q discards (num reads),Read 2 low-Q discards (pct bases),Read 2 low-Q discards (num bases),Read 2 perfect best site (pct reads),Read 2 perfect best site (num reads),Read 2 perfect best site (pct bases),Read 2 perfect best site (num bases),Read 2 semiperfect site (pct reads),Read 2 semiperfect site (num reads),Read 2 semiperfect site (pct bases),Read 2 semiperfect site (num bases),Read 2 rescued (pct reads),Read 2 rescued (num reads),Read 2 Match Rate (pct bases),Read 2 Match Rate (num bases),Read 2 Error Rate (pct reads),Read 2 Error Rate (num reads),Read 2 Error Rate (pct bases),Read 2 Error Rate (num bases),Read 2 Sub Rate (pct reads),Read 2 Sub Rate (num reads),Read 2 Sub Rate (pct bases),Read 2 Sub Rate (num bases),Read 2 Del Rate (pct reads),Read 2 Del Rate (num reads),Read 2 Del Rate (pct bases),Read 2 Del Rate (num bases),Read 2 Ins Rate (pct reads),Read 2 Ins Rate (num reads),Read 2 Ins Rate (pct bases),Read 2 Ins Rate (num bases),Read 2 N Rate (pct reads),Read 2 N Rate (num reads),Read 2 N Rate (pct bases),Read 2 N Rate (num bases),sample,method,depth
UT-UPHL-240124124876_bbnorm_10000,6638928,909514513,151.906,43704.13,5987.34,99.728,3310436,99.6398,906238244,0.0106,352,0.0116,105648,202.79,99.859,3314782,99.8735,453706337,99.8589,3314780,99.8734,453706103,0.0001,2,0.0001,234,0,0,0,0,56.8535,1887231,55.9299,254078976,56.8535,1887231,55.9299,254078976,0.358,11885,98.4288,450773167,43.0596,1427333,1.571,7194617,42.4861,1408322,0.6315,2892050,2.3854,79072,0.9307,4262229,0.2168,7185,0.0088,40338,0.0137,454,0.0002,782,99.7541,3311301,99.7573,454128586,99.754,3311299,99.7572,454128352,0.0001,2,0.0001,234,0,0,0,0,59.4621,1973823,58.3129,265459784,59.4621,1973823,58.3129,265459784,0.3498,11610,98.4837,451518579,40.3827,1337194,1.5161,6950878,39.786,1317433,0.5588,2561993,2.3968,79364,0.947,4341903,0.2319,7678,0.0102,46982,0.017,564,0.0002,1032,UT-UPHL-240124124876,bbnorm,10000
UT-UPHL-240124124876_raw_all,63146914,8647094191,1354.239,46629.07,6385.21,99.853,31527038,99.7573,8626109212,0.0103,3248,0.0113,975264,199.11,99.9524,31558433,99.9554,4317329920,99.9524,31558427,99.9554,4317329268,0,6,0,652,0,0,0,0,57.5871,18182239,56.5729,2443528688,57.5871,18182239,56.5729,2443528688,0.3516,111009,98.5251,4293145222,42.3676,13370555,1.4745,64250007,41.7051,13161463,0.5483,23893188,2.5837,815366,0.9198,40080801,0.2049,64672,0.0063,276018,0.0328,10355,0.0004,15492,99.8788,31535196,99.874,4322385750,99.8788,31535189,99.874,4322385013,0,7,0,737,0,0,0,0,59.8226,18888048,58.7117,2540945863,59.8226,18888049,58.7117,2540946014,0.3413,107761,98.6099,4300191837,40.0828,12640180,1.3896,60599165,39.3949,12423255,0.5015,21869361,2.5843,814966,0.8811,38425232,0.2095,66069,0.007,304572,0.0394,12426,0.0005,19980,UT-UPHL-240124124876,raw,all
UT-UPHL-240124124876_seqkit_10,1928,263327,0.891,2163.28,295.46,100,964,99.907,263082,0,0,0,0,200.44,100,964,100,131541,100,964,100,131541,0,0,0,0,0,0,0,0,58.0913,560,56.9602,74926,58.0913,560,56.9602,74926,1.2448,12,99.2037,130808,41.9087,404,0.7956,1049,41.1826,397,0.5544,731,2.9046,28,0.2404,317,0.1037,1,0.0008,1,0.1037,1,0.0008,1,100,964,100,131786,100,964,100,131786,0,0,0,0,0,0,0,0,60.5809,584,59.6437,78602,60.5809,584,59.6437,78602,1.1411,11,99.1565,131074,39.4191,380,0.8435,1115,38.4855,371,0.5386,712,3.4232,33,0.3049,403,0,0,0,0,0,0,0,0,UT-UPHL-240124124876,seqkit,10
UT-UPHL-240124124876_seqkit_30,5804,791868,1.351,4295.93,586.11,99.9311,2900,99.8308,790528,0,0,0,0,198.52,99.9655,2901,99.9621,395415,99.9655,2901,99.9621,395415,0,0,0,0,0,0,0,0,57.2019,1660,56.1442,222087,57.2019,1660,56.1442,222087,0.8615,25,99.1859,393175,42.7784,1241,0.8128,3222,42.1234,1222,0.5593,2217,2.6543,77,0.249,987,0.1379,4,0.0045,18,0.0689,2,0.0013,5,99.9655,2901,99.9619,396152,99.9655,2901,99.9619,396152,0,0,0,0,0,0,0,0,60.2343,1748,59.1994,234609,60.2343,1748,59.1994,234609,0.9304,27,99.2329,394151,39.7104,1152,0.7659,3042,39.09,1134,0.4982,1979,2.7232,79,0.2633,1046,0.1034,3,0.0043,17,0.0345,1,0.0013,5,UT-UPHL-240124124876,seqkit,30
UT-UPHL-240124124876_seqkit_50,9730,1332522,2.124,4580.47,627.29,99.8561,4858,99.7593,1329314,0.0206,1,0.0227,302,198.53,99.9794,4864,99.9775,665425,99.9794,4864,99.9775,665425,0,0,0,0,0,0,0,0,56.6906,2758,55.6704,370528,56.6906,2758,55.6704,370528,0.7605,37,99.1609,661672,43.2771,2105,0.8376,5589,42.5164,2068,0.5545,3700,2.8577,139,0.2766,1846,0.2467,12,0.0064,43,0.0617,3,0.0015,10,99.8972,4860,99.8868,666192,99.8972,4860,99.8868,666192,0,0,0,0,0,0,0,0,59.7945,2909,58.8077,392216,59.7945,2909,58.8077,392216,0.9661,47,99.2154,662868,40.1235,1950,0.7839,5237,39.4239,1916,0.4933,3296,2.8601,139,0.2871,1918,0.144,7,0.0034,23,0.0206,1,0.0007,5,UT-UPHL-240124124876,seqkit,50
UT-UPHL-240124124876_seqkit_100,19364,2653919,2.508,7720.71,1058.16,99.8967,9672,99.8009,2648636,0.0207,2,0.0228,604,198.09,99.9897,9681,99.9887,1325539,99.9897,9681,99.9887,1325539,0,0,0,0,0,0,0,0,56.9097,5510,55.9557,741798,56.9097,5510,55.9557,741798,0.6197,60,99.1508,1318134,43.0637,4169,0.8484,11279,42.382,4103,0.5497,7308,2.8923,280,0.2922,3885,0.2272,22,0.0065,86,0.0413,4,0.0008,11,99.9277,9675,99.9204,1327173,99.9277,9675,99.9204,1327173,0,0,0,0,0,0,0,0,59.7294,5783,58.7153,779874,59.7294,5783,58.7153,779874,0.7746,75,99.1963,1320448,40.2067,3890,0.8031,10690,39.5349,3825,0.5015,6676,2.8527,276,0.2985,3974,0.1137,11,0.003,40,0.0207,2,0.0007,9,UT-UPHL-240124124876,seqkit,100
UT-UPHL-240124124876_seqkit_200,28820,3951883,3.558,8101.01,1110.83,99.8751,14392,99.7756,3943016,0.0139,2,0.0153,604,198.64,99.9722,14406,99.9705,1973461,99.9722,14406,99.9705,1973461,0,0,0,0,0,0,0,0,57.1062,8229,56.1531,1108487,57.1062,8229,56.1531,1108487,0.5066,73,99.1756,1962445,42.8571,6174,0.8238,16301,42.1005,6065,0.5512,10906,2.7974,403,0.2677,5297,0.1944,28,0.005,98,0.0347,5,0.0006,12,99.9098,14397,99.9008,1975877,99.9098,14397,99.9008,1975877,0,0,0,0,0,0,0,0,59.8751,8628,58.8304,1163571,59.8751,8628,58.8304,1163571,0.6593,95,99.2221,1965883,40.0431,5765,0.7772,15399,39.3207,5661,0.5006,9918,2.7784,400,0.2735,5419,0.1111,16,0.0031,62,0.0347,5,0.0007,14,UT-UPHL-240124124876,seqkit,200
UT-UPHL-240124124876_seqkit_300,38686,5304217,2.992,12931.57,1773.04,99.8552,19315,99.7579,5291376,0.0103,2,0.0114,604,198.4,99.9742,19338,99.9723,2648781,99.9742,19338,99.9723,2648781,0,0,0,0,0,0,0,0,57.292,11082,56.3387,1492703,57.292,11082,56.3387,1492703,0.4963,96,99.1917,2634149,42.6725,8252,0.8078,21452,41.9588,8114,0.5464,14511,2.6735,517,0.2573,6833,0.1706,33,0.0041,108,0.031,6,0.0005,13,99.8811,19320,99.8692,2651230,99.8811,19320,99.8692,2651230,0,0,0,0,0,0,0,0,60.0786,11621,59.0382,1567288,60.0786,11621,59.0382,1567288,0.579,112,99.2475,2638079,39.8137,7692,0.7517,19980,39.1201,7558,0.4914,13063,2.6501,512,0.2577,6851,0.1035,20,0.0025,66,0.0466,9,0.0008,22,UT-UPHL-240124124876,seqkit,300
UT-UPHL-240124124876_seqkit_400,58086,7967827,3.667,15840.15,2172.84,99.8313,28994,99.7331,7946558,0.0172,5,0.0189,1508,198.49,99.9587,29031,99.9588,3978319,99.9587,29031,99.9588,3978319,0,0,0,0,0,0,0,0,57.1256,16591,56.1534,2234883,57.1256,16591,56.1534,2234883,0.4511,131,99.1911,3956170,42.8335,12435,0.8084,32244,42.1687,12242,0.5502,21945,2.6386,766,0.2536,10114,0.1826,53,0.0046,185,0.0276,8,0.0005,19,99.8726,29006,99.8636,3982426,99.8726,29006,99.8636,3982426,0,0,0,0,0,0,0,0,59.9422,17409,58.9177,2349561,59.9422,17409,58.9177,2349561,0.5337,155,99.2476,3962540,39.9538,11589,0.7516,30009,39.2608,11388,0.4935,19705,2.6546,770,0.2544,10156,0.131,38,0.0037,148,0.0483,14,0.0008,33,UT-UPHL-240124124876,seqkit,400
UT-UPHL-240124124876_seqkit_500,96878,13286428,4.507,21493.07,2947.69,99.8328,48358,99.7312,13250710,0.0165,8,0.0182,2412,198.71,99.9484,48414,99.9463,6633053,99.9484,48414,99.9463,6633053,0,0,0,0,0,0,0,0,57.1213,27669,56.1575,3726962,57.1213,27669,56.1575,3726962,0.4232,205,98.7127,6595686,42.8327,20737,1.2869,85989,42.1655,20414,0.553,36952,2.6335,1275,0.7281,48648,0.2045,99,0.0058,389,0.031,15,0.0004,26,99.8761,48379,99.8664,6640923,99.8761,48379,99.8664,6640923,0,0,0,0,0,0,0,0,59.6296,28884,58.5892,3896070,59.6296,28884,58.5892,3896070,0.4851,235,99.2297,6606871,40.2737,19484,0.7697,51247,39.575,19146,0.5043,33580,2.6313,1273,0.2589,17237,0.1881,91,0.0065,430,0.0393,19,0.0006,42,UT-UPHL-240124124876,seqkit,500
