Analysis,Bam File,Sample,Method,Depth,SARS-CoV-2_1,SARS-CoV-2_2,SARS-CoV-2_3,SARS-CoV-2_4,SARS-CoV-2_5,SARS-CoV-2_6,SARS-CoV-2_7,SARS-CoV-2_8,SARS-CoV-2_9,SARS-CoV-2_10,SARS-CoV-2_11,SARS-CoV-2_12,SARS-CoV-2_13,SARS-CoV-2_14,SARS-CoV-2_15,SARS-CoV-2_16,SARS-CoV-2_17,SARS-CoV-2_18,SARS-CoV-2_19,SARS-CoV-2_20,SARS-CoV-2_21,SARS-CoV-2_22,SARS-CoV-2_23,SARS-CoV-2_24,SARS-CoV-2_25,SARS-CoV-2_26,SARS-CoV-2_27,SARS-CoV-2_28,SARS-CoV-2_29,SARS-CoV-2_30,SARS-CoV-2_31,SARS-CoV-2_32,SARS-CoV-2_33,SARS-CoV-2_34,SARS-CoV-2_35,SARS-CoV-2_36,SARS-CoV-2_37,SARS-CoV-2_38,SARS-CoV-2_39,SARS-CoV-2_40,SARS-CoV-2_41,SARS-CoV-2_42,SARS-CoV-2_43,SARS-CoV-2_44,SARS-CoV-2_45,SARS-CoV-2_46,SARS-CoV-2_47,SARS-CoV-2_48,SARS-CoV-2_49,SARS-CoV-2_50,SARS-CoV-2_51,SARS-CoV-2_52,SARS-CoV-2_53,SARS-CoV-2_54,SARS-CoV-2_55,SARS-CoV-2_56,SARS-CoV-2_57,SARS-CoV-2_58,SARS-CoV-2_59,SARS-CoV-2_60,SARS-CoV-2_61,SARS-CoV-2_62,SARS-CoV-2_63,SARS-CoV-2_64,SARS-CoV-2_65,SARS-CoV-2_66,SARS-CoV-2_67,SARS-CoV-2_68,SARS-CoV-2_69,SARS-CoV-2_70,SARS-CoV-2_71,SARS-CoV-2_72,SARS-CoV-2_73,SARS-CoV-2_74,SARS-CoV-2_75,SARS-CoV-2_76,SARS-CoV-2_77,SARS-CoV-2_78,SARS-CoV-2_79,SARS-CoV-2_80,SARS-CoV-2_81,SARS-CoV-2_82,SARS-CoV-2_83,SARS-CoV-2_84,SARS-CoV-2_85,SARS-CoV-2_86,SARS-CoV-2_87,SARS-CoV-2_88,SARS-CoV-2_89,SARS-CoV-2_90,SARS-CoV-2_91,SARS-CoV-2_92,SARS-CoV-2_93,SARS-CoV-2_94,SARS-CoV-2_95,SARS-CoV-2_96
FPCOV-1,UT-UPHL-240124124876_bbnorm_10000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,97.55,98.09,98.09,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_1000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,96.73,97.28,97.82,100,97.28,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_100_trimmed.sorted,UT-UPHL-240124124876,bbnorm,100,100,100,98.03,100,100,100,98.87,100,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.26,100,100,100,100,100,100,100,100,100,100,100,98.58,100,100,100,100,100,100,100,97.28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.14,100,100,100,100,100,100,100,97.55,100,95.91,97,94.82,96.63,97.01,100,100,100,95.44,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_10_trimmed.sorted,UT-UPHL-240124124876,bbnorm,10,98.53,99.71,86.24,96.22,89.97,85.06,84.7,93.71,87.5,85.8,84.39,94.15,100,94.25,83.43,93.07,71.86,100,93.41,93.69,100,99.41,100,99.11,100,87.87,100,96.51,98.55,86.92,83.05,84.3,93.15,96.19,98.82,100,99.4,97.63,97.13,100,96.28,100,92.18,85.19,90.06,100,88.43,96.46,86.76,83.67,99.12,80.11,100,99.16,90.53,100,94.02,98.24,43.71,97.43,97.74,100,100,100,83.29,97.35,89.15,90.93,93.88,100,94.46,100,91.86,100,93.57,93.43,100,91.55,49.57,97.69,97.39,91.76,90.62,92.1,92.69,83.38,87.19,92.92,65.73,85.87,93.1,100,92.96,80.16,83.62,89.8
FPCOV-1,UT-UPHL-240124124876_bbnorm_200_trimmed.sorted,UT-UPHL-240124124876,bbnorm,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.6,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.28,100,95.91,97.28,96.19,100,95.65,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_300_trimmed.sorted,UT-UPHL-240124124876,bbnorm,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,97.55,100,96.73,97.28,96.46,100,97.55,100,100,100,96.25,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_30_trimmed.sorted,UT-UPHL-240124124876,bbnorm,30,100,100,96.91,97.38,97.64,100,99.43,100,100,96.31,100,100,100,100,93.71,100,99.4,100,100,100,100,100,100,98.52,100,100,98.03,98.55,100,100,85.63,92.44,100,100,100,100,100,100,94.84,100,97.13,100,95.25,90.88,98.01,100,100,100,100,95.13,100,92.1,100,100,100,100,100,100,98,100,100,100,100,100,98.87,100,90.32,99.15,100,100,100,100,100,100,97.95,97.71,100,98.87,100,100,100,100,100,94.01,100,95.64,90.74,88.56,90.73,88.59,100,100,98.03,92.23,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_400_trimmed.sorted,UT-UPHL-240124124876,bbnorm,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,96.46,97.28,97.55,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_5000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,97.55,97.82,98.37,100,97.83,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_500_trimmed.sorted,UT-UPHL-240124124876,bbnorm,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.16,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,96.19,97.28,97.28,99.16,97.01,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_50_trimmed.sorted,UT-UPHL-240124124876,bbnorm,50,100,100,99.72,100,100,100,100,100,100,98.01,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.8,99.11,100,100,100,100,100,100,100,100,100,98.6,92.88,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,98,100,100,100,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,94.55,100,94.55,96.19,95.1,91.85,97.01,100,100,100,94.37,100,100
FPCOV-1,UT-UPHL-240124124876_raw_all_trimmed.sorted,UT-UPHL-240124124876,raw,all,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_10000_trimmed.sorted,UT-UPHL-240124124876,seqkit,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,97.28,97.82,100,97.83,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_1000_trimmed.sorted,UT-UPHL-240124124876,seqkit,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.05,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,98.09,100,97,96.19,96.46,100,97.83,100,100,100,96.25,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_100_trimmed.sorted,UT-UPHL-240124124876,seqkit,100,100,97.35,96.91,99.71,73.75,100,100,100,100,98.3,100,100,99.38,100,94.57,100,51.5,91.01,100,100,100,100,100,98.22,100,100,100,100,100,100,100,100,91.37,100,100,100,100,100,99.71,100,97.42,98.84,87.43,96.58,100,100,87.24,100,100,100,90.86,95.37,82.54,100,100,100,98.86,100,100,100,100,100,100,100,95.18,100,97.07,100,100,100,100,100,100,100,100,98.29,99.07,99.72,84.93,100,100,97.35,100,98.09,100,96.73,91.83,91.55,92.13,95.38,97.41,100,100,87.67,97.74,100
FPCOV-1,UT-UPHL-240124124876_seqkit_10_trimmed.sorted,UT-UPHL-240124124876,seqkit,10,0,42.94,84.83,95.35,0,93.1,99.43,94,98.51,80.68,89.02,43.57,68.01,83.62,0,99.1,36.53,39.42,87.13,98.8,46.3,45.13,89.53,87.57,46.43,98.52,93.24,66.57,46.96,43.9,0,90.41,0,98.53,86.73,93.73,51.2,85.76,0,100,97.13,96.24,40.5,44.16,48.3,94.17,0,98.53,44.41,94.56,38.64,92.92,0,95.22,94.67,100,93.16,95.01,44.57,95.71,88.42,97.75,100,100,85.27,88.82,86.8,89.52,25.66,89.34,94.46,90.21,50.58,97.67,37.72,90.57,0,87.04,43.77,75.72,73.04,89.71,87.68,84.2,91.23,76.84,0,43.6,62.64,39.13,42.24,96.53,84.51,73.99,43.22,91.78
FPCOV-1,UT-UPHL-240124124876_seqkit_200_trimmed.sorted,UT-UPHL-240124124876,seqkit,200,100,97.35,98.31,100,73.75,100,100,100,100,98.3,100,100,100,100,95.43,100,92.22,91.01,100,100,100,100,100,99.11,100,100,100,100,100,100,100,100,91.37,100,100,100,100,100,99.71,100,99.14,99.71,95.53,98.58,100,100,87.24,100,100,100,100,95.37,85.5,100,100,100,100,100,100,100,100,100,100,100,100,100,97.07,100,100,100,100,100,100,100,100,100,100,99.72,87.83,100,100,100,100,98.09,100,96.73,94.28,94.82,93.26,95.65,97.41,100,100,87.67,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_300_trimmed.sorted,UT-UPHL-240124124876,seqkit,300,100,100,98.31,100,73.75,100,100,100,100,98.3,100,100,100,100,99.71,100,92.22,91.01,100,100,100,100,100,99.11,100,100,100,100,100,100,100,100,91.37,100,100,100,100,100,100,100,100,99.71,95.53,98.58,100,100,87.24,100,100,100,100,97.55,88.76,100,100,100,100,100,100,100,100,100,100,100,100,100,97.07,100,100,100,100,100,100,100,100,100,100,99.72,94.2,100,100,100,100,98.09,100,96.73,95.37,94.82,93.26,96.2,97.41,100,100,87.67,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_30_trimmed.sorted,UT-UPHL-240124124876,seqkit,30,41.18,87.94,96.91,99.71,0,100,99.43,100,100,92.9,91.33,87.72,99.38,100,81.43,100,51.5,91.01,99.4,100,98.15,92.04,98.84,95.86,97.32,100,100,93.02,100,100,70.98,95.35,0,100,98.23,100,97.89,95.85,91.4,100,97.42,98.84,40.5,74.64,92.61,100,0,100,44.41,100,38.64,95.37,38.46,99.16,100,100,95.73,97.07,98.29,97.14,96.61,97.75,100,100,94.9,90.29,90.32,100,69.1,100,100,100,94.77,100,86.55,98.29,41.36,99.72,43.77,86.71,96.81,97.35,100,98.09,98.83,93.73,87.19,88.28,80.34,95.38,91.38,100,90.42,84.18,85.88,100
FPCOV-1,UT-UPHL-240124124876_seqkit_400_trimmed.sorted,UT-UPHL-240124124876,seqkit,400,100,100,98.31,100,96.46,100,100,100,100,99.72,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91.37,100,100,100,100,100,100,100,100,100,95.53,98.58,100,100,93.18,100,100,100,100,97.55,88.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,98.09,100,96.73,95.91,94.82,100,96.74,100,100,100,93.83,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_5000_trimmed.sorted,UT-UPHL-240124124876,seqkit,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,97.28,97.55,100,97.83,100,100,100,96.51,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_500_trimmed.sorted,UT-UPHL-240124124876,seqkit,500,100,100,98.31,100,100,100,100,100,100,99.72,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,100,100,100,100,100,100,100,100,100,95.81,100,100,100,97.03,100,100,100,100,97.55,88.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,98.09,100,97,96.19,96.46,100,96.74,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-240124124876_seqkit_50_trimmed.sorted,UT-UPHL-240124124876,seqkit,50,45.29,90.88,96.91,99.71,0,100,100,100,100,92.9,100,93.57,99.38,100,94.57,100,51.5,91.01,100,100,100,100,100,96.75,100,100,100,93.02,100,100,99.71,99.42,88.69,100,100,100,100,100,99.71,100,97.42,98.84,78.77,96.3,100,100,39.47,100,44.41,100,90.27,95.37,82.54,100,100,100,95.73,97.07,98.29,97.71,98.59,99.72,100,100,94.9,97.35,93.55,100,98.54,100,100,100,94.77,100,99.71,98.29,91.05,99.72,43.77,99.71,97.39,97.35,100,98.09,98.83,93.73,87.19,88.28,80.34,95.38,97.41,100,93.24,85.25,94.63,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_10000_trimmed.sorted,UT-UPHL-240124217603,bbnorm,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_1000_trimmed.sorted,UT-UPHL-240124217603,bbnorm,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_100_trimmed.sorted,UT-UPHL-240124217603,bbnorm,100,100,100,100,100,100,100,99.72,100,100,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.6,100,100,100,100,100,100,100,100,97.28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,97.55,100,100,98.88,100,100,100,100,95.98,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_10_trimmed.sorted,UT-UPHL-240124217603,bbnorm,10,100,100,88.48,97.97,85.84,94.25,85.84,98.86,100,82.95,97.11,93.86,95.65,100,84.57,95.78,81.74,97.39,83.53,100,96.6,100,100,84.91,100,100,91.83,100,49.86,96.22,95.98,95.35,96.13,96.48,90.27,96.72,100,87.54,94.27,100,100,89.6,96.65,93.73,89.49,100,98.22,100,96.18,90.26,100,94.55,98.82,99.16,85.21,98.85,100,88.86,84,95.71,96.33,83.71,100,100,91.78,87.06,98.83,97.17,88.05,100,78.72,100,88.37,100,97.37,98.29,81.17,92.96,70.43,79.19,99.71,100,97.07,89.1,98.25,86.65,89.92,87.47,64.61,83.42,91.67,100,96.06,83.65,97.74,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_200_trimmed.sorted,UT-UPHL-240124217603,bbnorm,200,100,100,99.72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.6,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,98.6,100,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_300_trimmed.sorted,UT-UPHL-240124217603,bbnorm,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.16,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,95.17,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_30_trimmed.sorted,UT-UPHL-240124217603,bbnorm,30,100,100,96.63,93.02,100,96.84,98.87,100,100,98.3,100,100,100,100,96.57,100,100,99.42,100,100,100,100,99.71,100,100,100,100,97.09,100,97.09,100,100,94.05,100,94.4,100,100,100,98.28,100,100,100,98.6,95.73,95.74,100,100,99.41,100,100,100,97.55,99.41,99.72,100,100,100,100,98,97.71,100,99.72,100,100,96.6,97.94,100,97.73,100,100,100,100,96.8,100,100,98,100,98.03,100,100,99.71,100,100,95.64,100,100,100,94.82,92.7,100,99.14,100,93.52,93.3,98.31,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_400_trimmed.sorted,UT-UPHL-240124217603,bbnorm,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,99.72,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_5000_trimmed.sorted,UT-UPHL-240124217603,bbnorm,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_500_trimmed.sorted,UT-UPHL-240124217603,bbnorm,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,98.91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.05,100,100
FPCOV-1,UT-UPHL-240124217603_bbnorm_50_trimmed.sorted,UT-UPHL-240124217603,bbnorm,50,100,100,96.63,100,100,100,98.3,100,100,99.72,100,100,100,100,99.43,100,100,100,100,100,100,100,100,98.52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.43,100,97.21,100,99.72,100,100,100,100,99.71,100,96.73,100,99.72,100,100,100,100,99.43,100,100,97.75,100,100,99.15,100,99.41,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,97.55,100,95.64,95.64,94.82,94.94,100,99.14,100,94.08,92.76,100,100
FPCOV-1,UT-UPHL-240124217603_raw_all_trimmed.sorted,UT-UPHL-240124217603,raw,all,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_seqkit_10000_trimmed.sorted,UT-UPHL-240124217603,seqkit,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_seqkit_1000_trimmed.sorted,UT-UPHL-240124217603,seqkit,1000,98.24,100,100,100,96.17,100,97.45,100,98.21,100,69.65,100,83.85,100,100,100,100,100,100,100,100,100,100,100,97.32,100,100,100,100,100,100,100,82.74,100,100,100,100,100,100,100,99.43,100,98.88,100,100,100,79.23,100,100,100,100,100,98.52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63.77,100,100,100,100,98.09,100,100,97.28,96.73,98.03,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124217603_seqkit_100_trimmed.sorted,UT-UPHL-240124217603,seqkit,100,49.12,100,94.38,100,0,100,62.89,100,86.01,92.9,36.71,100,0,100,94,100,92.51,100,47.31,100,100,100,100,96.45,0,100,97.75,100,100,100,91.09,100,43.75,100,99.41,100,93.67,97.03,97.71,100,0,100,80.73,100,86.93,100,0,100,87.35,98.85,0,97.28,91.12,100,100,100,98.86,100,89.43,100,99.72,99.16,100,100,100,100,93.26,98.3,39.07,100,100,100,98.55,100,99.12,100,88.27,99.44,19.13,100,100,100,100,97.28,78.07,96.19,92.92,92.92,92.13,96.74,93.97,100,99.72,95.71,87.01,100
FPCOV-1,UT-UPHL-240124217603_seqkit_10_trimmed.sorted,UT-UPHL-240124217603,seqkit,10,43.82,81.18,84.55,90.12,0,89.66,38.24,94.86,0,85.8,0,93.57,0,95.11,39.14,97.59,0,100,0,94.59,0,88.5,90.7,20.12,0,92.9,82.25,99.13,44.64,92.73,78.16,94.19,0,94.13,75.81,89.55,0,95.25,76.79,98.23,0,68.79,0,88.89,0,100,0,89.68,0,89.4,0,90.74,0,99.16,94.97,89.63,43.87,97.65,79.43,100,88.7,82.87,48.12,92.65,36.54,88.24,0,87.54,20.7,65.83,94.75,100,40.7,86.92,97.66,48.29,0,96.34,0,87.86,89.57,89.71,84.75,92.1,23.39,86.38,69.75,89.1,75,81.25,86.21,96.24,42.54,84.18,69.49,100
FPCOV-1,UT-UPHL-240124217603_seqkit_200_trimmed.sorted,UT-UPHL-240124217603,seqkit,200,49.12,100,96.63,100,44.25,100,64.31,100,90.18,94.6,36.71,100,0,100,94,100,100,100,47.31,100,100,100,100,96.45,0,100,99.72,100,100,100,94.54,100,43.75,100,99.41,100,93.67,97.03,98.28,100,43.27,100,80.73,100,94.03,100,0,100,87.35,100,0,97.28,91.12,100,100,100,100,100,89.43,100,100,100,100,100,100,100,93.26,100,91.55,100,100,100,100,100,100,100,88.89,99.44,19.13,100,100,100,100,97.28,93.57,96.19,94.55,95.91,92.13,97.83,93.97,100,99.72,96.25,91.81,100
FPCOV-1,UT-UPHL-240124217603_seqkit_300_trimmed.sorted,UT-UPHL-240124217603,seqkit,300,92.06,100,96.63,100,44.25,100,88.1,100,92.26,94.6,39.02,100,0,100,94,100,100,100,62.87,100,100,100,100,100,76.79,100,99.72,100,100,100,100,100,43.75,100,99.41,100,100,100,100,100,89.11,100,86.87,100,95.45,100,0,100,89.71,100,0,97.28,91.12,100,100,100,100,100,89.43,100,100,100,100,100,100,100,93.26,100,91.55,100,100,100,100,100,100,100,91.05,99.72,19.13,100,100,100,100,98.09,100,96.19,94.55,95.91,92.13,100,93.97,100,99.72,96.25,96.89,100
FPCOV-1,UT-UPHL-240124217603_seqkit_30_trimmed.sorted,UT-UPHL-240124217603,seqkit,30,43.82,86.47,94.38,94.48,0,89.94,38.24,98.57,86.01,90.91,0,99.12,0,97.99,88.57,100,45.21,100,26.35,100,95.06,97.64,98.84,73.37,0,100,97.46,100,88.99,99.71,91.09,95.64,43.75,97.07,82.3,92.24,36.14,95.25,94.56,100,0,98.27,0,96.87,85.8,100,0,94.4,42.94,94.84,0,97.28,22.19,99.16,99.7,99.71,98.86,100,79.43,100,96.89,91.85,98.44,100,88.1,96.47,79.47,96.6,20.7,65.83,100,100,83.14,97.09,97.66,95.71,41.98,98.31,0,97.11,94.2,92.94,95.31,97,67.25,95.91,69.75,91.55,90.45,96.74,93.97,100,94.93,87.13,87.01,100
FPCOV-1,UT-UPHL-240124217603_seqkit_400_trimmed.sorted,UT-UPHL-240124217603,seqkit,400,95,100,100,100,44.25,100,95.75,100,92.26,100,39.02,100,0,100,94.57,100,100,100,100,100,100,100,100,100,96.13,100,99.72,100,100,100,100,100,43.75,100,100,100,100,100,100,100,91.98,100,86.87,100,98.3,100,46.59,100,95.29,100,0,97.28,94.08,100,100,100,100,100,89.43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91.36,99.72,60.87,100,100,100,100,98.09,100,96.19,94.55,96.46,94.38,100,100,100,99.72,100,97.46,100
