Analysis,Bam File,Sample,Method,Depth,SARS-CoV-2_1,SARS-CoV-2_2,SARS-CoV-2_3,SARS-CoV-2_4,SARS-CoV-2_5,SARS-CoV-2_6,SARS-CoV-2_7,SARS-CoV-2_8,SARS-CoV-2_9,SARS-CoV-2_10,SARS-CoV-2_11,SARS-CoV-2_12,SARS-CoV-2_13,SARS-CoV-2_14,SARS-CoV-2_15,SARS-CoV-2_16,SARS-CoV-2_17,SARS-CoV-2_18,SARS-CoV-2_19,SARS-CoV-2_20,SARS-CoV-2_21,SARS-CoV-2_22,SARS-CoV-2_23,SARS-CoV-2_24,SARS-CoV-2_25,SARS-CoV-2_26,SARS-CoV-2_27,SARS-CoV-2_28,SARS-CoV-2_29,SARS-CoV-2_30,SARS-CoV-2_31,SARS-CoV-2_32,SARS-CoV-2_33,SARS-CoV-2_34,SARS-CoV-2_35,SARS-CoV-2_36,SARS-CoV-2_37,SARS-CoV-2_38,SARS-CoV-2_39,SARS-CoV-2_40,SARS-CoV-2_41,SARS-CoV-2_42,SARS-CoV-2_43,SARS-CoV-2_44,SARS-CoV-2_45,SARS-CoV-2_46,SARS-CoV-2_47,SARS-CoV-2_48,SARS-CoV-2_49,SARS-CoV-2_50,SARS-CoV-2_51,SARS-CoV-2_52,SARS-CoV-2_53,SARS-CoV-2_54,SARS-CoV-2_55,SARS-CoV-2_56,SARS-CoV-2_57,SARS-CoV-2_58,SARS-CoV-2_59,SARS-CoV-2_60,SARS-CoV-2_61,SARS-CoV-2_62,SARS-CoV-2_63,SARS-CoV-2_64,SARS-CoV-2_65,SARS-CoV-2_66,SARS-CoV-2_67,SARS-CoV-2_68,SARS-CoV-2_69,SARS-CoV-2_70,SARS-CoV-2_71,SARS-CoV-2_72,SARS-CoV-2_73,SARS-CoV-2_74,SARS-CoV-2_75,SARS-CoV-2_76,SARS-CoV-2_77,SARS-CoV-2_78,SARS-CoV-2_79,SARS-CoV-2_80,SARS-CoV-2_81,SARS-CoV-2_82,SARS-CoV-2_83,SARS-CoV-2_84,SARS-CoV-2_85,SARS-CoV-2_86,SARS-CoV-2_87,SARS-CoV-2_88,SARS-CoV-2_89,SARS-CoV-2_90,SARS-CoV-2_91,SARS-CoV-2_92,SARS-CoV-2_93,SARS-CoV-2_94,SARS-CoV-2_95,SARS-CoV-2_96
FPCOV-1,UT-UPHL-250307937662_raw_all_trimmed.sorted,UT-UPHL-250307937662,raw,all,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_10000_trimmed.sorted,UT-UPHL-250307937662,seqkit,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.64,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_1000_trimmed.sorted,UT-UPHL-250307937662,seqkit,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.46,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_100_trimmed.sorted,UT-UPHL-250307937662,seqkit,100,100,90.88,100,83.14,92.92,94.25,99.15,100,100,96.02,89.6,100,100,100,98.29,100,100,100,100,100,100,100,100,85.5,100,100,99.44,100,100,100,100,100,98.21,100,100,100,100,92.28,100,100,100,100,99.72,92.59,99.72,100,100,100,100,100,100,96.19,87.87,100,99.7,100,100,100,96.57,100,100,98.88,100,100,100,97.35,100,100,98.25,100,100,100,94.48,100,100,98,100,97.75,93.91,98.27,100,97.06,100,95.91,100,95.91,95.1,95.64,98.6,95.11,98.85,100,100,100,98.87,100
FPCOV-1,UT-UPHL-250307937662_seqkit_10_trimmed.sorted,UT-UPHL-250307937662,seqkit,10,37.94,44.12,93.26,0,0,90.23,89.52,88.86,91.37,64.2,86.42,75.73,100,87.07,85.14,97.29,42.51,87.25,41.32,89.79,95.99,83.48,98.84,0,50.89,95.27,95.21,93.02,47.54,88.66,87.64,88.95,0,100,97.35,99.1,84.04,0,89.11,100,39.83,98.27,47.49,83.76,88.07,100,0,84.96,95.88,87.39,78.76,94.28,20.71,100,89.05,98.27,93.73,89.44,87.43,80,99.72,87.08,100,99.12,87.25,0,83.58,78.75,80.76,49.22,94.17,46.18,85.17,87.5,89.77,90.57,46.6,95.21,0,67.63,86.09,82.94,99.41,94.82,87.43,95.91,80.11,82.29,89.61,83.7,91.67,100,90.99,41.02,85.88,95.18
FPCOV-1,UT-UPHL-250307937662_seqkit_200_trimmed.sorted,UT-UPHL-250307937662,seqkit,200,100,90.88,100,83.14,92.92,97.13,99.15,100,100,96.02,95.66,100,100,100,98.29,100,100,100,100,100,100,100,100,94.38,100,100,100,100,100,100,100,100,100,100,100,100,100,93.47,100,100,100,100,99.72,96.87,99.72,100,100,100,100,100,100,96.19,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,97.97,100,100,98,100,100,96.81,98.27,100,97.94,100,95.91,100,100,95.64,95.64,98.6,95.11,98.85,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_300_trimmed.sorted,UT-UPHL-250307937662,seqkit,300,100,90.88,100,97.38,92.92,97.13,100,100,100,99.72,95.66,100,100,100,98.57,100,100,100,100,100,100,100,100,94.38,100,100,100,100,100,100,100,100,100,100,100,100,100,99.41,100,100,100,100,99.72,96.87,100,100,100,100,100,100,100,96.19,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,99.13,100,100,100,100,100,100,98.27,100,97.94,100,95.91,100,100,95.64,95.64,98.6,95.11,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_30_trimmed.sorted,UT-UPHL-250307937662,seqkit,30,95,44.12,99.44,39.24,41.59,92.53,91.78,94.86,100,85.23,89.6,97.08,100,100,93.71,100,43.41,100,98.2,100,96.91,95.28,100,85.5,100,100,99.44,96.8,89.28,95.64,100,96.22,39.88,100,100,100,93.98,83.09,93.98,100,90.54,100,50.28,84.9,99.72,100,95.85,91.45,100,99.14,89.97,96.19,63.61,100,99.11,100,100,98.24,92.57,92.86,99.72,97.47,100,100,97.73,0,99.71,100,85.71,100,100,74.62,94.48,87.5,98.83,98,95.06,97.75,48.12,94.22,98.84,86.47,99.41,95.91,100,95.91,95.1,82.29,97.47,87.5,94.83,100,98.59,100,96.89,99.15
FPCOV-1,UT-UPHL-250307937662_seqkit_400_trimmed.sorted,UT-UPHL-250307937662,seqkit,400,100,100,100,97.38,92.92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,98.01,100,100,100,100,100,100,100,96.19,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.94,100,97,100,100,96.46,96.19,100,95.65,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_5000_trimmed.sorted,UT-UPHL-250307937662,seqkit,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.64,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-250307937662_seqkit_500_trimmed.sorted,UT-UPHL-250307937662,seqkit,500,100,100,100,97.67,94.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.43,100,100,100,100,100,100,100,97.55,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,96.46,100,95.65,100,100,100,100,100,100
